"Plot Title: 20541053"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538920, LBL: RCSM1 1m)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538921, LBL: RCSM1 10cm)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538928, LBL: RCSM1 30cm)"
1,04/25/20 09:30:01 AM,0.3001,0.2864,0.2922
2,04/25/20 10:00:01 AM,0.3001,0.2861,0.2922
3,04/25/20 10:30:01 AM,0.3001,0.2861,0.2919
4,04/25/20 11:00:01 AM,0.3001,0.2861,0.2919
5,04/25/20 11:30:01 AM,0.3001,0.2861,0.2919
6,04/25/20 12:00:01 PM,0.3005,0.2864,0.2914
7,04/25/20 12:30:01 PM,0.3001,0.2861,0.2914
8,04/25/20 01:00:01 PM,0.3001,0.2861,0.2911
9,04/25/20 01:30:01 PM,0.3001,0.2861,0.2911
10,04/25/20 02:00:01 PM,0.3001,0.2861,0.2911
11,04/25/20 02:30:01 PM,0.3001,0.2864,0.2911
12,04/25/20 03:00:01 PM,0.3001,0.2861,0.2911
13,04/25/20 03:30:01 PM,0.3001,0.2861,0.2911
14,04/25/20 04:00:01 PM,0.3001,0.2864,0.2911
15,04/25/20 04:30:01 PM,0.3001,0.2861,0.2911
16,04/25/20 05:00:01 PM,0.3001,0.2861,0.2911
17,04/25/20 05:30:01 PM,0.3001,0.2857,0.2908
18,04/25/20 06:00:01 PM,0.3001,0.2857,0.2911
19,04/25/20 06:30:01 PM,0.3001,0.2857,0.2911
20,04/25/20 07:00:01 PM,0.3001,0.2857,0.2911
21,04/25/20 07:30:01 PM,-0.4737,0.2857,0.2908
22,04/25/20 08:00:01 PM,-0.4737,0.2861,0.2908
23,04/25/20 08:30:01 PM,-0.4737,0.2861,0.2908
24,04/25/20 09:00:01 PM,-0.4737,0.2857,0.2908
25,04/25/20 09:30:01 PM,-0.4737,0.2857,0.2908
26,04/25/20 10:00:01 PM,-0.4737,0.2857,0.2904
27,04/25/20 10:30:01 PM,-0.4737,0.2857,0.2904
28,04/25/20 11:00:01 PM,-0.4737,0.2861,0.2904
29,04/25/20 11:30:01 PM,-0.4737,0.2857,0.2904
30,04/26/20 12:00:01 AM,-0.4737,0.2861,0.2904
31,04/26/20 12:30:01 AM,-0.4737,0.2861,0.2904
32,04/26/20 01:00:01 AM,-0.4737,0.2861,0.2904
33,04/26/20 01:30:01 AM,-0.4737,0.2861,0.2904
34,04/26/20 02:00:01 AM,-0.4737,0.2861,0.2904
35,04/26/20 02:30:01 AM,-0.4737,0.2857,0.2904
36,04/26/20 03:00:01 AM,-0.4737,0.2861,0.2904
37,04/26/20 03:30:01 AM,-0.4737,0.2861,0.2904
38,04/26/20 04:00:01 AM,-0.4737,0.2861,0.2904
39,04/26/20 04:30:01 AM,-0.4737,0.2861,0.2908
40,04/26/20 05:00:01 AM,-0.4737,0.2861,0.2904
41,04/26/20 05:30:01 AM,-0.4737,0.2857,0.2908
42,04/26/20 06:00:01 AM,-0.4737,0.2853,0.2908
43,04/26/20 06:30:01 AM,-0.4737,0.2857,0.2908
44,04/26/20 07:00:01 AM,-0.4737,0.2853,0.2908
45,04/26/20 07:30:01 AM,-0.4737,0.2853,0.2911
46,04/26/20 08:00:01 AM,-0.4737,0.2853,0.2911
47,04/26/20 08:30:01 AM,-0.4737,0.2853,0.2911
48,04/26/20 09:00:01 AM,-0.4737,0.2857,0.2911
49,04/26/20 09:30:01 AM,-0.4737,0.2857,0.2911
50,04/26/20 10:00:01 AM,-0.4737,0.2853,0.2914
51,04/26/20 10:30:01 AM,0.3001,0.2857,0.2914
52,04/26/20 11:00:01 AM,0.3001,0.2857,0.2911
53,04/26/20 11:30:01 AM,0.3001,0.2853,0.2908
54,04/26/20 12:00:01 PM,-0.4737,0.2853,0.2904
55,04/26/20 12:30:01 PM,-0.4737,0.2857,0.2904
56,04/26/20 01:00:01 PM,-0.4737,0.2853,0.2901
57,04/26/20 01:30:01 PM,-0.4737,0.2853,0.2901
58,04/26/20 02:00:01 PM,-0.4737,0.2853,0.2904
59,04/26/20 02:30:01 PM,0.3001,0.2853,0.2904
60,04/26/20 03:00:01 PM,0.3001,0.2853,0.2904
61,04/26/20 03:30:01 PM,0.3001,0.2853,0.2904
62,04/26/20 04:00:01 PM,-0.4737,0.2850,0.2904
63,04/26/20 04:30:01 PM,-0.4737,0.2850,0.2908
64,04/26/20 05:00:01 PM,-0.4737,0.2850,0.2904
65,04/26/20 05:30:01 PM,-0.4737,0.2853,0.2904
66,04/26/20 06:00:01 PM,-0.4737,0.2850,0.2904
67,04/26/20 06:30:01 PM,-0.4737,0.2853,0.2901
68,04/26/20 07:00:01 PM,-0.4737,0.2850,0.2901
69,04/26/20 07:30:01 PM,-0.4737,0.2850,0.2901
70,04/26/20 08:00:01 PM,-0.4737,0.2850,0.2898
71,04/26/20 08:30:01 PM,-0.4737,0.2853,0.2898
72,04/26/20 09:00:01 PM,-0.4737,0.2853,0.2898
73,04/26/20 09:30:01 PM,-0.4737,0.2850,0.2898
74,04/26/20 10:00:01 PM,-0.4737,0.2850,0.2898
75,04/26/20 10:30:01 PM,-0.4737,0.2853,0.2895
76,04/26/20 11:00:01 PM,-0.4737,0.2853,0.2895
77,04/26/20 11:30:01 PM,-0.4737,0.2850,0.2895
78,04/27/20 12:00:01 AM,-0.4737,0.2853,0.2895
79,04/27/20 12:30:01 AM,-0.4737,0.2853,0.2895
80,04/27/20 01:00:01 AM,-0.4737,0.2853,0.2895
81,04/27/20 01:30:01 AM,-0.4737,0.2850,0.2895
82,04/27/20 02:00:01 AM,-0.4737,0.2853,0.2895
83,04/27/20 02:30:01 AM,-0.4737,0.2850,0.2895
84,04/27/20 03:00:01 AM,-0.4737,0.2853,0.2895
85,04/27/20 03:30:01 AM,-0.4737,0.2853,0.2895
86,04/27/20 04:00:01 AM,-0.4737,0.2853,0.2895
87,04/27/20 04:30:01 AM,-0.4737,0.2853,0.2898
88,04/27/20 05:00:01 AM,-0.4737,0.2853,0.2898
89,04/27/20 05:30:01 AM,-0.4737,0.2853,0.2898
90,04/27/20 06:00:01 AM,-0.4737,0.2850,0.2898
91,04/27/20 06:30:01 AM,-0.4737,0.2853,0.2898
92,04/27/20 07:00:01 AM,-0.4737,0.2850,0.2901
93,04/27/20 07:30:01 AM,-0.4737,0.2850,0.2901
94,04/27/20 08:00:01 AM,-0.4737,0.2850,0.2901
95,04/27/20 08:30:01 AM,-0.4737,0.2847,0.2901
96,04/27/20 09:00:01 AM,-0.4737,0.2847,0.2901
97,04/27/20 09:30:01 AM,-0.4737,0.2850,0.2901
98,04/27/20 10:00:01 AM,-0.4737,0.2847,0.2898
99,04/27/20 10:30:01 AM,-0.4737,0.2850,0.2898
100,04/27/20 11:00:01 AM,-0.4737,0.2847,0.2898
101,04/27/20 11:30:01 AM,-0.4737,0.2847,0.2895
102,04/27/20 12:00:01 PM,-0.4737,0.2850,0.2890
103,04/27/20 12:30:01 PM,-0.4737,0.2850,0.2890
104,04/27/20 01:00:01 PM,-0.4737,0.2847,0.2890
105,04/27/20 01:30:01 PM,-0.4737,0.2847,0.2890
106,04/27/20 02:00:01 PM,-0.4737,0.2847,0.2890
107,04/27/20 02:30:01 PM,-0.4737,0.2847,0.2895
108,04/27/20 03:00:01 PM,-0.4737,0.2847,0.2895
109,04/27/20 03:30:01 PM,-0.4737,0.2847,0.2895
110,04/27/20 04:00:01 PM,-0.4737,0.2847,0.2895
111,04/27/20 04:30:01 PM,-0.4737,0.2844,0.2895
112,04/27/20 05:00:01 PM,-0.4737,0.2844,0.2890
113,04/27/20 05:30:01 PM,-0.4737,0.2844,0.2890
114,04/27/20 06:00:01 PM,-0.4737,0.2844,0.2895
115,04/27/20 06:30:01 PM,-0.4737,0.2844,0.2890
116,04/27/20 07:00:01 PM,-0.4737,0.2847,0.2890
117,04/27/20 07:30:01 PM,-0.4737,0.2847,0.2890
118,04/27/20 08:00:01 PM,-0.4737,0.2844,0.2890
119,04/27/20 08:30:01 PM,-0.4737,0.2847,0.2887
120,04/27/20 09:00:01 PM,-0.4737,0.2844,0.2887
121,04/27/20 09:30:01 PM,-0.4737,0.2844,0.2887
122,04/27/20 10:00:01 PM,-0.4737,0.2844,0.2884
123,04/27/20 10:30:01 PM,-0.4737,0.2844,0.2884
124,04/27/20 11:00:01 PM,-0.4737,0.2847,0.2884
125,04/27/20 11:30:01 PM,-0.4737,0.2844,0.2884
126,04/28/20 12:00:01 AM,-0.4737,0.2844,0.2884
127,04/28/20 12:30:01 AM,-0.4737,0.2847,0.2884
128,04/28/20 01:00:01 AM,-0.4737,0.2847,0.2884
129,04/28/20 01:30:01 AM,-0.4737,0.2847,0.2881
130,04/28/20 02:00:01 AM,-0.4737,0.2844,0.2884
131,04/28/20 02:30:01 AM,-0.4737,0.2847,0.2881
132,04/28/20 03:00:01 AM,-0.4737,0.2844,0.2884
133,04/28/20 03:30:01 AM,-0.4737,0.2847,0.2884
134,04/28/20 04:00:01 AM,-0.4737,0.2844,0.2884
135,04/28/20 04:30:01 AM,-0.4737,0.2847,0.2884
136,04/28/20 05:00:01 AM,-0.4737,0.2847,0.2884
137,04/28/20 05:30:01 AM,-0.4737,0.2844,0.2884
138,04/28/20 06:00:01 AM,-0.4737,0.2844,0.2884
139,04/28/20 06:30:01 AM,-0.4737,0.2844,0.2884
140,04/28/20 07:00:01 AM,-0.4737,0.2844,0.2884
141,04/28/20 07:30:01 AM,-0.4737,0.2844,0.2887
142,04/28/20 08:00:01 AM,-0.4737,0.2844,0.2887
143,04/28/20 08:30:01 AM,-0.4737,0.2844,0.2887
144,04/28/20 09:00:01 AM,-0.4737,0.2840,0.2887
145,04/28/20 09:30:01 AM,-0.4737,0.2844,0.2887
146,04/28/20 10:00:01 AM,-0.4737,0.2840,0.2887
147,04/28/20 10:30:01 AM,-0.4737,0.2840,0.2887
148,04/28/20 11:00:01 AM,-0.4737,0.2844,0.2884
149,04/28/20 11:30:01 AM,-0.4737,0.2840,0.2884
150,04/28/20 12:00:01 PM,-0.4737,0.2844,0.2881
151,04/28/20 12:30:01 PM,-0.4737,0.2840,0.2881
152,04/28/20 01:00:01 PM,-0.4737,0.2844,0.2877
153,04/28/20 01:30:01 PM,-0.4737,0.2840,0.2877
154,04/28/20 02:00:01 PM,-0.4737,0.2840,0.2881
155,04/28/20 02:30:01 PM,-0.4737,0.2840,0.2881
156,04/28/20 03:00:01 PM,-0.4737,0.2837,0.2881
157,04/28/20 03:30:01 PM,-0.4737,0.2837,0.2881
158,04/28/20 04:00:01 PM,-0.4737,0.2837,0.2881
159,04/28/20 04:30:01 PM,-0.4737,0.2837,0.2881
160,04/28/20 05:00:01 PM,-0.4737,0.2837,0.2877
161,04/28/20 05:30:01 PM,-0.4737,0.2840,0.2881
162,04/28/20 06:00:01 PM,-0.4737,0.2840,0.2881
163,04/28/20 06:30:01 PM,-0.4737,0.2840,0.2877
164,04/28/20 07:00:01 PM,-0.4737,0.2837,0.2877
165,04/28/20 07:30:01 PM,-0.4737,0.2837,0.2877
166,04/28/20 08:00:01 PM,-0.4737,0.2834,0.2874
167,04/28/20 08:30:01 PM,-0.4737,0.2834,0.2874
168,04/28/20 09:00:01 PM,-0.4737,0.2840,0.2874
169,04/28/20 09:30:01 PM,-0.4737,0.2837,0.2871
170,04/28/20 10:00:01 PM,-0.4737,0.2834,0.2871
171,04/28/20 10:30:01 PM,-0.4737,0.2840,0.2871
172,04/28/20 11:00:01 PM,-0.4737,0.2840,0.2868
173,04/28/20 11:30:01 PM,-0.4737,0.2840,0.2868
174,04/29/20 12:00:01 AM,-0.4737,0.2840,0.2868
175,04/29/20 12:30:01 AM,-0.4737,0.2840,0.2868
176,04/29/20 01:00:01 AM,-0.4737,0.2840,0.2868
177,04/29/20 01:30:01 AM,-0.4737,0.2840,0.2868
178,04/29/20 02:00:01 AM,-0.4737,0.2837,0.2868
179,04/29/20 02:30:01 AM,-0.4737,0.2840,0.2864
180,04/29/20 03:00:01 AM,-0.4737,0.2840,0.2868
181,04/29/20 03:30:01 AM,-0.4737,0.2837,0.2868
182,04/29/20 04:00:01 AM,-0.4737,0.2840,0.2864
183,04/29/20 04:30:01 AM,-0.4737,0.2837,0.2864
184,04/29/20 05:00:01 AM,-0.4737,0.2837,0.2864
185,04/29/20 05:30:01 AM,-0.4737,0.2837,0.2864
186,04/29/20 06:00:01 AM,-0.4737,0.2837,0.2868
187,04/29/20 06:30:01 AM,-0.4737,0.2837,0.2868
188,04/29/20 07:00:01 AM,-0.4737,0.2837,0.2868
189,04/29/20 07:30:01 AM,-0.4737,0.2834,0.2868
190,04/29/20 08:00:01 AM,-0.4737,0.2837,0.2871
191,04/29/20 08:30:01 AM,-0.4737,0.2834,0.2868
192,04/29/20 09:00:01 AM,-0.4737,0.2834,0.2871
193,04/29/20 09:30:01 AM,-0.4737,0.2834,0.2871
194,04/29/20 10:00:01 AM,-0.4737,0.2834,0.2868
195,04/29/20 10:30:01 AM,-0.4737,0.2834,0.2868
196,04/29/20 11:00:01 AM,-0.4737,0.2837,0.2864
197,04/29/20 11:30:01 AM,-0.4737,0.2834,0.2864
198,04/29/20 12:00:01 PM,-0.4737,0.2830,0.2861
199,04/29/20 12:30:01 PM,-0.4737,0.2834,0.2861
200,04/29/20 01:00:01 PM,-0.4737,0.2834,0.2861
201,04/29/20 01:30:01 PM,-0.4737,0.2830,0.2861
202,04/29/20 02:00:01 PM,-0.4737,0.2834,0.2861
203,04/29/20 02:30:01 PM,-0.4737,0.2830,0.2861
204,04/29/20 03:00:01 PM,-0.4737,0.2834,0.2861
205,04/29/20 03:30:01 PM,-0.4737,0.2834,0.2861
206,04/29/20 04:00:01 PM,-0.4737,0.2830,0.2861
207,04/29/20 04:30:01 PM,-0.4737,0.2834,0.2861
208,04/29/20 05:00:01 PM,-0.4737,0.2830,0.2861
209,04/29/20 05:30:01 PM,-0.4737,0.2830,0.2861
210,04/29/20 06:00:01 PM,-0.4737,0.2830,0.2861
211,04/29/20 06:30:01 PM,-0.4737,0.2830,0.2853
212,04/29/20 07:00:01 PM,-0.4737,0.2827,0.2857
213,04/29/20 07:30:01 PM,-0.4737,0.2830,0.2853
