"Plot Title: 20541053"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538920, LBL: RCSM1 1m)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538921, LBL: RCSM1 10cm)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538928, LBL: RCSM1 30cm)"
1,07/09/19 05:30:01 PM,0.2997,0.2351,0.2456
2,07/09/19 06:00:01 PM,0.3001,0.2351,0.2456
3,07/09/19 06:30:01 PM,0.3001,0.2351,0.2456
4,07/09/19 07:00:01 PM,0.3001,0.2351,0.2460
5,07/09/19 07:30:01 PM,0.3001,0.2355,0.2456
6,07/09/19 08:00:01 PM,0.3001,0.2358,0.2460
7,07/09/19 08:30:01 PM,0.3005,0.2358,0.2460
8,07/09/19 09:00:01 PM,0.3005,0.2363,0.2456
9,07/09/19 09:30:01 PM,0.3005,0.2363,0.2456
10,07/09/19 10:00:01 PM,0.3005,0.2363,0.2456
11,07/09/19 10:30:01 PM,0.3008,0.2371,0.2452
12,07/09/19 11:00:01 PM,0.3008,0.2367,0.2452
13,07/09/19 11:30:01 PM,0.3005,0.2374,0.2452
14,07/10/19 12:00:01 AM,0.3008,0.2374,0.2456
15,07/10/19 12:30:01 AM,0.3011,0.2374,0.2456
16,07/10/19 01:00:01 AM,0.3011,0.2379,0.2456
17,07/10/19 01:30:01 AM,0.3011,0.2379,0.2460
18,07/10/19 02:00:01 AM,0.3011,0.2383,0.2464
19,07/10/19 02:30:01 AM,0.3011,0.2383,0.2464
20,07/10/19 03:00:01 AM,0.3011,0.2387,0.2468
21,07/10/19 03:30:01 AM,0.3011,0.2387,0.2479
22,07/10/19 04:00:01 AM,0.3011,0.2387,0.2483
23,07/10/19 04:30:01 AM,0.3015,0.2390,0.2490
24,07/10/19 05:00:01 AM,0.3015,0.2390,0.2494
25,07/10/19 05:30:01 AM,0.3015,0.2390,0.2498
26,07/10/19 06:00:01 AM,0.3015,0.2390,0.2502
27,07/10/19 06:30:01 AM,0.3015,0.2390,0.2505
28,07/10/19 07:00:01 AM,0.3019,0.2394,0.2509
29,07/10/19 07:30:01 AM,0.3015,0.2394,0.2509
30,07/10/19 08:00:01 AM,0.3019,0.2390,0.2509
31,07/10/19 08:30:01 AM,0.3019,0.2390,0.2509
32,07/10/19 09:00:01 AM,0.3019,0.2394,0.2512
33,07/10/19 09:30:01 AM,0.3019,0.2394,0.2512
34,07/10/19 10:00:01 AM,0.3019,0.2394,0.2512
35,07/10/19 10:30:01 AM,0.3019,0.2394,0.2509
36,07/10/19 11:00:01 AM,0.3022,0.2399,0.2505
37,07/10/19 11:30:01 AM,0.3022,0.2394,0.2502
38,07/10/19 12:00:01 PM,0.3019,0.2394,0.2498
39,07/10/19 12:30:01 PM,0.3019,0.2390,0.2487
40,07/10/19 01:00:01 PM,0.3019,0.2394,0.2483
41,07/10/19 01:30:01 PM,0.3022,0.2394,0.2479
42,07/10/19 02:00:01 PM,0.3019,0.2394,0.2479
43,07/10/19 02:30:01 PM,0.3022,0.2394,0.2479
44,07/10/19 03:00:01 PM,0.3022,0.2394,0.2479
45,07/10/19 03:30:01 PM,0.3022,0.2403,0.2487
46,07/10/19 04:00:01 PM,0.3022,0.2403,0.2487
47,07/10/19 04:30:01 PM,0.3026,0.2403,0.2487
48,07/10/19 05:00:01 PM,0.3022,0.2406,0.2483
49,07/10/19 05:30:01 PM,0.3022,0.2406,0.2487
50,07/10/19 06:00:01 PM,0.3022,0.2403,0.2483
51,07/10/19 06:30:01 PM,0.3026,0.2406,0.2487
52,07/10/19 07:00:01 PM,0.3026,0.2410,0.2483
53,07/10/19 07:30:01 PM,0.3026,0.2410,0.2483
54,07/10/19 08:00:01 PM,0.3026,0.2410,0.2479
55,07/10/19 08:30:01 PM,0.3026,0.2414,0.2479
56,07/10/19 09:00:01 PM,0.3026,0.2414,0.2479
57,07/10/19 09:30:01 PM,0.3026,0.2414,0.2475
58,07/10/19 10:00:01 PM,0.3026,0.2418,0.2475
59,07/10/19 10:30:01 PM,0.3026,0.2418,0.2471
60,07/10/19 11:00:01 PM,0.3026,0.2421,0.2468
61,07/10/19 11:30:01 PM,0.3026,0.2425,0.2468
62,07/11/19 12:00:01 AM,0.3022,0.2425,0.2468
63,07/11/19 12:30:01 AM,0.3022,0.2425,0.2468
64,07/11/19 01:00:01 AM,0.3026,0.2430,0.2471
65,07/11/19 01:30:01 AM,0.3026,0.2430,0.2475
66,07/11/19 02:00:01 AM,0.3026,0.2425,0.2475
67,07/11/19 02:30:01 AM,0.3026,0.2430,0.2479
68,07/11/19 03:00:01 AM,0.3026,0.2425,0.2487
69,07/11/19 03:30:01 AM,0.3026,0.2430,0.2490
70,07/11/19 04:00:01 AM,0.3026,0.2430,0.2498
71,07/11/19 04:30:01 AM,0.3022,0.2430,0.2502
72,07/11/19 05:00:01 AM,0.3026,0.2434,0.2509
73,07/11/19 05:30:01 AM,0.3026,0.2434,0.2509
74,07/11/19 06:00:01 AM,0.3022,0.2434,0.2512
75,07/11/19 06:30:01 AM,0.3022,0.2434,0.2520
76,07/11/19 07:00:01 AM,0.3022,0.2434,0.2524
77,07/11/19 07:30:01 AM,0.3026,0.2434,0.2524
78,07/11/19 08:00:01 AM,0.3026,0.2434,0.2532
79,07/11/19 08:30:01 AM,0.3026,0.2434,0.2528
80,07/11/19 09:00:01 AM,0.3026,0.2434,0.2528
81,07/11/19 09:30:01 AM,0.3026,0.2434,0.2532
82,07/11/19 10:00:01 AM,0.3026,0.2434,0.2534
83,07/11/19 10:30:01 AM,0.3026,0.2430,0.2534
84,07/11/19 11:00:01 AM,0.3026,0.2430,0.2528
85,07/11/19 11:30:01 AM,0.3029,0.2430,0.2520
86,07/11/19 12:00:01 PM,0.3026,0.2430,0.2509
87,07/11/19 12:30:01 PM,0.3026,0.2425,0.2494
88,07/11/19 01:00:01 PM,0.3026,0.2430,0.2487
89,07/11/19 01:30:01 PM,0.3026,0.2430,0.2490
90,07/11/19 02:00:01 PM,0.3026,0.2425,0.2490
91,07/11/19 02:30:01 PM,0.3026,0.2430,0.2490
92,07/11/19 03:00:01 PM,0.3026,0.2425,0.2490
93,07/11/19 03:30:01 PM,0.3026,0.2430,0.2490
94,07/11/19 04:00:01 PM,0.3026,0.2430,0.2490
95,07/11/19 04:30:01 PM,0.3026,0.2430,0.2490
96,07/11/19 05:00:01 PM,0.3026,0.2434,0.2490
97,07/11/19 05:30:01 PM,0.3026,0.2434,0.2490
98,07/11/19 06:00:01 PM,0.3026,0.2434,0.2487
99,07/11/19 06:30:01 PM,0.3026,0.2421,0.2490
100,07/11/19 07:00:01 PM,0.3026,0.2418,0.2490
101,07/11/19 07:30:01 PM,0.3026,0.2418,0.2487
102,07/11/19 08:00:01 PM,0.3026,0.2421,0.2483
103,07/11/19 08:30:01 PM,0.3026,0.2421,0.2483
104,07/11/19 09:00:01 PM,0.3026,0.2421,0.2479
105,07/11/19 09:30:01 PM,0.3026,0.2421,0.2479
106,07/11/19 10:00:01 PM,0.3026,0.2421,0.2475
107,07/11/19 10:30:01 PM,0.3022,0.2421,0.2475
108,07/11/19 11:00:01 PM,0.3026,0.2421,0.2475
109,07/11/19 11:30:01 PM,0.3026,0.2421,0.2475
110,07/12/19 12:00:01 AM,0.3022,0.2425,0.2471
111,07/12/19 12:30:01 AM,0.3026,0.2425,0.2471
112,07/12/19 01:00:01 AM,0.3026,0.2425,0.2475
113,07/12/19 01:30:01 AM,0.3026,0.2425,0.2475
114,07/12/19 02:00:01 AM,0.3026,0.2425,0.2475
115,07/12/19 02:30:01 AM,0.3022,0.2425,0.2479
116,07/12/19 03:00:01 AM,0.3026,0.2425,0.2487
117,07/12/19 03:30:01 AM,0.3026,0.2425,0.2494
118,07/12/19 04:00:01 AM,0.3026,0.2425,0.2498
119,07/12/19 04:30:01 AM,0.3026,0.2425,0.2502
120,07/12/19 05:00:01 AM,0.3022,0.2430,0.2505
121,07/12/19 05:30:01 AM,0.3022,0.2430,0.2512
122,07/12/19 06:00:01 AM,0.3022,0.2430,0.2516
123,07/12/19 06:30:01 AM,0.3022,0.2430,0.2520
124,07/12/19 07:00:01 AM,0.3022,0.2430,0.2524
125,07/12/19 07:30:01 AM,0.3022,0.2430,0.2532
126,07/12/19 08:00:01 AM,0.3026,0.2430,0.2528
127,07/12/19 08:30:01 AM,0.3022,0.2430,0.2528
128,07/12/19 09:00:01 AM,0.3026,0.2430,0.2528
129,07/12/19 09:30:01 AM,0.3026,0.2430,0.2532
130,07/12/19 10:00:01 AM,0.3029,0.2430,0.2532
131,07/12/19 10:30:01 AM,0.3026,0.2425,0.2532
132,07/12/19 11:00:01 AM,0.3026,0.2430,0.2524
133,07/12/19 11:30:01 AM,0.3026,0.2430,0.2512
134,07/12/19 12:00:01 PM,0.3026,0.2425,0.2505
135,07/12/19 12:30:01 PM,0.3026,0.2421,0.2494
136,07/12/19 01:00:01 PM,0.3026,0.2425,0.2494
137,07/12/19 01:30:01 PM,0.3026,0.2421,0.2490
138,07/12/19 02:00:01 PM,0.3026,0.2421,0.2494
139,07/12/19 02:30:01 PM,0.3026,0.2421,0.2494
140,07/12/19 03:00:01 PM,0.3022,0.2421,0.2494
141,07/12/19 03:30:01 PM,0.3026,0.2421,0.2494
142,07/12/19 04:00:01 PM,0.3026,0.2421,0.2494
143,07/12/19 04:30:01 PM,0.3026,0.2421,0.2494
144,07/12/19 05:00:01 PM,0.3026,0.2418,0.2494
145,07/12/19 05:30:01 PM,0.3026,0.2421,0.2494
146,07/12/19 06:00:01 PM,0.3026,0.2421,0.2494
147,07/12/19 06:30:01 PM,0.3026,0.2425,0.2494
148,07/12/19 07:00:01 PM,0.3026,0.2418,0.2490
149,07/12/19 07:30:01 PM,0.3026,0.2418,0.2487
150,07/12/19 08:00:01 PM,0.3022,0.2418,0.2487
151,07/12/19 08:30:01 PM,0.3022,0.2421,0.2487
152,07/12/19 09:00:01 PM,0.3026,0.2421,0.2483
153,07/12/19 09:30:01 PM,0.3022,0.2425,0.2483
154,07/12/19 10:00:01 PM,0.3022,0.2425,0.2479
155,07/12/19 10:30:01 PM,0.3022,0.2425,0.2475
156,07/12/19 11:00:01 PM,0.3022,0.2425,0.2475
157,07/12/19 11:30:01 PM,0.3022,0.2425,0.2475
158,07/13/19 12:00:01 AM,0.3022,0.2430,0.2471
159,07/13/19 12:30:01 AM,0.3022,0.2430,0.2475
160,07/13/19 01:00:01 AM,0.3022,0.2430,0.2475
161,07/13/19 01:30:01 AM,0.3022,0.2430,0.2475
162,07/13/19 02:00:01 AM,0.3022,0.2425,0.2479
163,07/13/19 02:30:01 AM,0.3022,0.2425,0.2479
164,07/13/19 03:00:01 AM,0.3022,0.2425,0.2487
165,07/13/19 03:30:01 AM,0.3022,0.2421,0.2490
166,07/13/19 04:00:01 AM,0.3022,0.2421,0.2494
167,07/13/19 04:30:01 AM,0.3022,0.2421,0.2502
168,07/13/19 05:00:01 AM,0.3022,0.2421,0.2505
169,07/13/19 05:30:01 AM,0.3022,0.2425,0.2509
170,07/13/19 06:00:01 AM,0.3022,0.2421,0.2512
171,07/13/19 06:30:01 AM,0.3022,0.2421,0.2516
172,07/13/19 07:00:01 AM,0.3019,0.2421,0.2520
173,07/13/19 07:30:01 AM,0.3022,0.2421,0.2524
174,07/13/19 08:00:01 AM,0.3022,0.2421,0.2524
175,07/13/19 08:30:01 AM,0.3022,0.2421,0.2528
176,07/13/19 09:00:01 AM,0.3022,0.2421,0.2532
177,07/13/19 09:30:01 AM,0.3022,0.2421,0.2534
178,07/13/19 10:00:01 AM,0.3022,0.2421,0.2534
179,07/13/19 10:30:01 AM,0.3026,0.2418,0.2532
180,07/13/19 11:00:01 AM,0.3022,0.2418,0.2528
181,07/13/19 11:30:01 AM,0.3026,0.2418,0.2516
182,07/13/19 12:00:01 PM,0.3022,0.2421,0.2505
183,07/13/19 12:30:01 PM,0.3022,0.2418,0.2494
184,07/13/19 01:00:01 PM,0.3022,0.2418,0.2487
185,07/13/19 01:30:01 PM,0.3022,0.2418,0.2490
186,07/13/19 02:00:01 PM,0.3022,0.2418,0.2490
187,07/13/19 02:30:01 PM,0.3022,0.2418,0.2490
188,07/13/19 03:00:01 PM,0.3022,0.2414,0.2490
189,07/13/19 03:30:01 PM,0.3022,0.2414,0.2490
190,07/13/19 04:00:01 PM,0.3022,0.2414,0.2487
