"Plot Title: RCSM5"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538922, LBL: RCSM5 30 CM)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538923, LBL: RCSM5 1M)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538924, LBL: RCSM5 10 CM)"
1,09/03/19 05:00:01 PM,0.3683,0.5051,0.3418
2,09/03/19 05:30:01 PM,0.3694,0.5051,0.3418
3,09/03/19 06:00:01 PM,0.3688,0.5051,0.3422
4,09/03/19 06:30:01 PM,0.3694,0.5051,0.3418
5,09/03/19 07:00:01 PM,0.3694,0.5044,0.3422
6,09/03/19 07:30:01 PM,0.3694,0.5051,0.3418
7,09/03/19 08:00:01 PM,0.3688,0.5044,0.3427
8,09/03/19 08:30:01 PM,0.3694,0.5044,0.3427
9,09/03/19 09:00:01 PM,0.3688,0.5044,0.3427
10,09/03/19 09:30:01 PM,0.3688,0.5044,0.3427
11,09/03/19 10:00:01 PM,0.3688,0.5044,0.3427
12,09/03/19 10:30:01 PM,0.3688,0.5044,0.3427
13,09/03/19 11:00:01 PM,0.3688,0.5044,0.3427
14,09/03/19 11:30:01 PM,0.3688,0.5044,0.3427
15,09/04/19 12:00:01 AM,0.3694,0.5044,0.3427
16,09/04/19 12:30:01 AM,0.3688,0.5044,0.3422
17,09/04/19 01:00:01 AM,0.3688,0.5044,0.3427
18,09/04/19 01:30:01 AM,0.3688,0.5044,0.3427
19,09/04/19 02:00:01 AM,0.3688,0.5044,0.3418
20,09/04/19 02:30:01 AM,0.3688,0.5044,0.3427
21,09/04/19 03:00:01 AM,0.3688,0.5044,0.3422
22,09/04/19 03:30:01 AM,0.3694,0.5044,0.3427
23,09/04/19 04:00:01 AM,0.3694,0.5044,0.3422
24,09/04/19 04:30:01 AM,0.3694,0.5044,0.3422
25,09/04/19 05:00:01 AM,0.3694,0.5044,0.3422
26,09/04/19 05:30:01 AM,0.3694,0.5044,0.3422
