"Plot Title: 20541050"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538922, LBL: RCSM4 30 CM)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538923, LBL: RCSM4 1M)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538924, LBL: RCSM4 10 CM)"
1,07/09/19 07:00:01 PM,0.3705,0.4990,0.3380
2,07/09/19 07:30:01 PM,0.3699,0.4990,0.3380
3,07/09/19 08:00:01 PM,0.3699,0.4990,0.3376
4,07/09/19 08:30:01 PM,0.3699,0.4990,0.3376
5,07/09/19 09:00:01 PM,0.3694,0.4990,0.3376
6,07/09/19 09:30:01 PM,0.3699,0.4990,0.3376
7,07/09/19 10:00:01 PM,0.3694,0.4990,0.3384
8,07/09/19 10:30:01 PM,0.3699,0.4990,0.3376
9,07/09/19 11:00:01 PM,0.3699,0.4990,0.3384
10,07/09/19 11:30:01 PM,0.3694,0.4983,0.3380
11,07/10/19 12:00:01 AM,0.3699,0.4990,0.3380
12,07/10/19 12:30:01 AM,0.3694,0.4983,0.3380
13,07/10/19 01:00:01 AM,0.3705,0.4983,0.3376
14,07/10/19 01:30:01 AM,0.3705,0.4990,0.3380
15,07/10/19 02:00:01 AM,0.3699,0.4990,0.3376
16,07/10/19 02:30:01 AM,0.3705,0.4990,0.3384
17,07/10/19 03:00:01 AM,0.3705,0.4990,0.3384
18,07/10/19 03:30:01 AM,0.3705,0.4990,0.3380
19,07/10/19 04:00:01 AM,0.3705,0.4983,0.3380
20,07/10/19 04:30:01 AM,0.3711,0.4983,0.3384
21,07/10/19 05:00:01 AM,0.3705,0.4990,0.3380
22,07/10/19 05:30:01 AM,0.3705,0.4990,0.3384
23,07/10/19 06:00:01 AM,0.3711,0.4990,0.3384
24,07/10/19 06:30:01 AM,0.3705,0.4990,0.3384
25,07/10/19 07:00:01 AM,0.3711,0.4990,0.3384
26,07/10/19 07:30:01 AM,0.3711,0.4998,0.3384
27,07/10/19 08:00:01 AM,0.3711,0.4998,0.3384
28,07/10/19 08:30:01 AM,0.3705,0.4983,0.3380
29,07/10/19 09:00:01 AM,0.3711,0.4998,0.3389
30,07/10/19 09:30:01 AM,0.3711,0.4998,0.3389
31,07/10/19 10:00:01 AM,0.3711,0.4990,0.3384
32,07/10/19 10:30:01 AM,0.3711,0.4990,0.3389
33,07/10/19 11:00:01 AM,0.3711,0.4998,0.3393
34,07/10/19 11:30:01 AM,0.3705,0.4990,0.3389
35,07/10/19 12:00:01 PM,0.3711,0.4990,0.3389
36,07/10/19 12:30:01 PM,0.3716,0.4990,0.3389
37,07/10/19 01:00:01 PM,0.3716,0.4990,0.3389
38,07/10/19 01:30:01 PM,0.3711,0.4990,0.3393
39,07/10/19 02:00:01 PM,0.3716,0.4990,0.3393
40,07/10/19 02:30:01 PM,0.3716,0.4998,0.3393
41,07/10/19 03:00:01 PM,0.3711,0.4990,0.3384
42,07/10/19 03:30:01 PM,0.3716,0.4998,0.3384
43,07/10/19 04:00:01 PM,0.3716,0.4998,0.3384
44,07/10/19 04:30:01 PM,0.3711,0.4998,0.3384
45,07/10/19 05:00:01 PM,0.3716,0.4990,0.3393
46,07/10/19 05:30:01 PM,0.3716,0.4990,0.3384
47,07/10/19 06:00:01 PM,0.3711,0.4998,0.3389
48,07/10/19 06:30:01 PM,0.3716,0.5005,0.3399
49,07/10/19 07:00:01 PM,0.3716,0.4998,0.3389
50,07/10/19 07:30:01 PM,0.3716,0.4998,0.3393
51,07/10/19 08:00:01 PM,0.3711,0.4998,0.3403
52,07/10/19 08:30:01 PM,0.3711,0.4998,0.3393
53,07/10/19 09:00:01 PM,0.3711,0.4998,0.3399
54,07/10/19 09:30:01 PM,0.3711,0.4998,0.3389
55,07/10/19 10:00:01 PM,0.3716,0.4998,0.3399
56,07/10/19 10:30:01 PM,0.3716,0.4998,0.3403
57,07/10/19 11:00:01 PM,0.3716,0.4998,0.3403
58,07/10/19 11:30:01 PM,0.3716,0.4998,0.3403
59,07/11/19 12:00:01 AM,0.3711,0.4998,0.3399
60,07/11/19 12:30:01 AM,0.3711,0.4990,0.3403
61,07/11/19 01:00:01 AM,0.3716,0.4998,0.3408
62,07/11/19 01:30:01 AM,0.3711,0.4990,0.3403
63,07/11/19 02:00:01 AM,0.3711,0.4990,0.3403
64,07/11/19 02:30:01 AM,0.3722,0.4990,0.3403
65,07/11/19 03:00:01 AM,0.3716,0.4998,0.3403
66,07/11/19 03:30:01 AM,0.3716,0.4998,0.3408
67,07/11/19 04:00:01 AM,0.3722,0.4998,0.3408
68,07/11/19 04:30:01 AM,0.3716,0.4990,0.3403
69,07/11/19 05:00:01 AM,0.3716,0.4990,0.3403
70,07/11/19 05:30:01 AM,0.3716,0.4990,0.3403
71,07/11/19 06:00:01 AM,0.3722,0.4990,0.3408
72,07/11/19 06:30:01 AM,0.3722,0.4990,0.3403
73,07/11/19 07:00:01 AM,0.3711,0.4998,0.3393
74,07/11/19 07:30:01 AM,0.3722,0.4998,0.3408
75,07/11/19 08:00:01 AM,0.3722,0.4998,0.3393
76,07/11/19 08:30:01 AM,0.3722,0.4990,0.3393
77,07/11/19 09:00:01 AM,0.3722,0.4998,0.3393
78,07/11/19 09:30:01 AM,0.3722,0.4998,0.3399
79,07/11/19 10:00:01 AM,0.3722,0.4998,0.3393
80,07/11/19 10:30:01 AM,0.3722,0.4998,0.3399
81,07/11/19 11:00:01 AM,0.3716,0.4998,0.3399
