"TOA5","CR1000","CR1000","91760","CR1000.Std.32.03","CPU:Sap Flow System Program 1.CR1","20918","Soil&SapFlow"
"TIMESTAMP","RECORD","battvolt","loggertemp","Probe1ShallowVelocity","Probe1MidVelocity","Probe1DeepVelocity","Probe2ShallowVelocity","Probe2MidVelocity","Probe2DeepVelocity","Probe3ShallowVelocity","Probe3MidVelocity","Probe3DeepVelocity","Probe4ShallowVelocity","Probe4MidVelocity","Probe4DeepVelocity","Probe5ShallowVelocity","Probe5MidVelocity","Probe5DeepVelocity","Probe6ShallowVelocity","Probe6MidVelocity","Probe6DeepVelocity","Probe7ShallowVelocity","Probe7MidVelocity","Probe7DeepVelocity","Probe8ShallowVelocity","Probe8MidVelocity","Probe8DeepVelocity","Probe1ShallowVolume","Probe1MidVolume","Probe1DeepVolume","Probe2ShallowVolume","Probe2MidVolume","Probe2DeepVolume","Probe3ShallowVolume","Probe3MidVolume","Probe3DeepVolume","Probe4ShallowVolume","Probe4MidVolume","Probe4DeepVolume","Probe5ShallowVolume","Probe5MidVolume","Probe5DeepVolume","Probe6ShallowVolume","Probe6MidVolume","Probe6DeepVolume","Probe7ShallowVolume","Probe7MidVolume","Probe7DeepVolume","Probe8ShallowVolume","Probe8MidVolume","Probe8DeepVolume","Tinitial(1)","Tinitial(2)","Tinitial(3)","Tinitial(4)","Tinitial(5)","Tinitial(6)","Tinitial(7)","Tinitial(8)","Tinitial(9)","Tinitial(10)","Tinitial(11)","Tinitial(12)","Tinitial(13)","Tinitial(14)","Tinitial(15)","Tinitial(16)","Tinitial2(1)","Tinitial2(2)","Tinitial2(3)","Tinitial2(4)","Tinitial2(5)","Tinitial2(6)","Tinitial2(7)","Tinitial2(8)","Tinitial2(9)","Tinitial2(10)","Tinitial2(11)","Tinitial2(12)","Tinitial2(13)","Tinitial2(14)","Tinitial2(15)","Tinitial2(16)","Tinitial3(1)","Tinitial3(2)","Tinitial3(3)","Tinitial3(4)","Tinitial3(5)","Tinitial3(6)","Tinitial3(7)","Tinitial3(8)","Tinitial3(9)","Tinitial3(10)","Tinitial3(11)","Tinitial3(12)","Tinitial3(13)","Tinitial3(14)","Tinitial3(15)","Tinitial3(16)","tfinal(1)","tfinal(2)","tfinal(3)","tfinal(4)","tfinal(5)","tfinal(6)","tfinal(7)","tfinal(8)","tfinal(9)","tfinal(10)","tfinal(11)","tfinal(12)","tfinal(13)","tfinal(14)","tfinal(15)","tfinal(16)","tfinal2(1)","tfinal2(2)","tfinal2(3)","tfinal2(4)","tfinal2(5)","tfinal2(6)","tfinal2(7)","tfinal2(8)","tfinal2(9)","tfinal2(10)","tfinal2(11)","tfinal2(12)","tfinal2(13)","tfinal2(14)","tfinal2(15)","tfinal2(16)","tfinal3(1)","tfinal3(2)","tfinal3(3)","tfinal3(4)","tfinal3(5)","tfinal3(6)","tfinal3(7)","tfinal3(8)","tfinal3(9)","tfinal3(10)","tfinal3(11)","tfinal3(12)","tfinal3(13)","tfinal3(14)","tfinal3(15)","tfinal3(16)","VWC_5cm","Perm_5cm","TC_5cm","EC_5cm","VWC_10cm","Perm_10cm","TC_10cm","EC_10cm","VWC_20cm","Perm_20cm","TC_20cm","EC_20cm","VWC_30cm","Perm_30cm","TC_30cm","EC_30cm","VWC_40cm","Perm_40cm","TC_40cm","EC_40cm","VWC_50cm","Perm_50cm","TC_50cm","EC_50cm","VWC_60cm","Perm_60cm","TC_60cm","EC_60cm","VWC_75cm","Perm_75cm","TC_75cm","EC_75cm","VWC_100cm","Perm_100cm","TC_100cm","EC_100cm"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-07-20 15:30:00",0,13.02,39.44,0.241485,0.4850422,0.4120028,0.1595705,0.4676922,0.3688916,0.2190078,0.6734324,0.539652,0.2445562,0.2398783,0.168794,0.3388503,0.2765745,0.2337262,0.3991618,0.4381365,0.2471064,0.2125288,0.3687924,0.3048304,0.242634,0.4532014,0.3064657,9501.054,1362132,119918.1,6638.435,1468989,114939.8,5589.938,792905.9,89270.02,10299.94,772265.8,53383.02,4046.266,70403.48,9802.813,8876.198,390937.3,33493.15,6224.086,572444.9,60850.71,7230.649,728532.8,62611.38,22.80834,22.74737,23.27583,23.15387,21.87334,21.96483,23.04208,22.90997,27.73798,27.65566,25.47442,25.56625,25.52543,25.39282,26.32226,26.45528,21.05975,21.06992,22.06647,22.01565,20.65257,20.68312,21.45648,21.0801,27.67624,27.71741,24.91373,25.06657,24.52677,24.57767,25.06657,25.09715,19.75549,19.63298,21.38529,21.42597,19.88814,19.87794,20.1737,20.07174,27.52197,27.73798,24.39445,24.62857,23.81462,23.73328,23.47912,23.56045,23.76378,23.03191,23.97734,23.46895,22.72704,22.24941,23.80445,23.13354,28.4701,27.78945,26.23021,25.66831,26.41434,25.69893,27.15218,26.70102,22.21893,21.17167,23.02175,22.10713,21.548,20.71367,22.26974,21.32426,28.29454,27.87182,25.6479,25.14811,25.62748,24.75077,26.05642,25.19908,20.64239,19.74528,22.09697,21.53783,20.8053,19.93916,20.74422,20.3164,27.95423,27.87182,24.78132,24.74059,24.65912,23.91632,24.42499,23.76378,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2019-07-20 16:00:00",1,13.14,35.63,0.2488498,0.5003026,0.3677793,0.2053354,0.4318963,0.3599092,0.1914655,0.5280463,0.6137745,0.2764337,0.3184385,0.2251463,0.3125297,0.3601927,0.3022496,0.3081192,0.431708,0.1381499,0.2047537,0.3725354,0.3721619,0.3056005,0.4850797,0.3209829,9790.816,1404987,107046.3,8542.342,1356557,112141,4886.951,621726.9,101531.5,11642.52,1025183,71205.05,3731.968,91688.92,12676.79,6851.678,385201.4,18725.04,5996.385,578254.9,74291.52,9107.091,779777.9,65577.27,24.15124,24.05971,23.49041,23.38878,21.9053,21.95612,23.37862,23.3278,27.98531,27.89261,25.42413,25.52612,26.057,25.87313,26.74243,26.7117,21.9866,22.03741,22.26096,22.2,20.82735,20.90877,22.09838,21.78334,27.81025,27.90291,25.01642,25.10812,25.15907,25.14888,25.81187,25.7302,20.44045,20.32839,21.58004,21.5902,20.20611,20.18573,20.807,20.71539,27.72792,27.9338,24.69053,24.8229,24.45644,24.37504,24.6091,24.69053,25.10812,24.33434,24.2021,23.64287,22.72833,22.27113,24.11056,23.51073,28.67688,28.03683,26.18986,25.68938,26.99865,26.2103,27.50168,26.87563,23.23635,22.13903,23.23635,22.31177,21.83416,20.98,22.95185,21.95612,28.56316,28.02653,25.63835,25.17945,26.28188,25.32216,26.74243,25.81187,21.4072,20.4812,22.32193,21.71219,21.09191,20.22649,21.4682,20.92912,28.15022,28.02653,24.91455,24.93493,25.31197,24.50732,25.47512,24.86363,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2019-07-20 16:30:00",2,13.09,33.89,0.2040618,0.4347021,0.410297,0.1483136,0.4445888,0.4925712,0.2142052,0.5435221,0.4756023,0.2554296,0.2890525,0.2155787,0.4328751,0.3518631,0.259038,0.2793816,0.2912122,0.06703249,0.2428542,0.3715604,0.3769089,0.3574916,0.5810106,0.4244471,8028.667,1220763,119421.6,6170.125,1396423,153476.1,5467.358,639948.3,78674.83,10757.89,930577.6,68179.2,5169.032,89568.59,10864.43,6212.636,259840.8,9085.681,7112.193,576741.4,75239.12,10653.48,933989.3,86715.15,25.01878,25.06971,23.75726,23.62513,21.91837,21.98949,23.34062,23.28982,28.15204,28.06958,25.31427,25.41622,26.25334,26.07961,26.88792,26.90841,23.3203,23.43206,22.47713,22.47713,20.96272,21.02376,22.32475,22.04029,28.01806,28.06958,24.94748,25.04933,25.54879,25.49779,25.94682,25.85493,21.57284,21.53218,21.76594,21.81675,20.42325,20.41307,21.29835,21.12547,27.91507,28.06958,24.72348,24.85583,24.90674,24.81511,24.96785,25.03915,25.92639,25.39582,24.3775,23.9199,22.7514,22.27396,24.0724,23.49303,28.8752,28.15204,26.01831,25.58959,27.0827,26.32491,27.68866,27.04168,24.48941,23.56416,23.4219,22.57871,22.05045,21.09496,23.14758,22.23333,28.74067,28.19329,25.51819,25.18178,26.60114,25.661,26.88792,25.90597,22.52792,21.65415,22.48729,21.87772,21.30852,20.49454,21.89804,21.32885,28.36868,28.19329,24.93729,25.00859,25.78347,24.94748,25.8243,25.14102,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2019-07-20 17:00:00",3,13.03,31.16,0.2288029,0.7287958,0.3806629,0.2134809,0.3421512,0.4503012,0.2384809,0.599106,0.4098608,0.2336442,0.3572064,0.1785814,0.3125646,0.3482382,0.254401,0.2191252,0.3035706,0.07106396,0.2297204,0.405791,0.4147959,0.1927601,0.3172129,0.2409869,9002.085,2046659,110796.3,8881.209,1074673,140305.5,6086.969,705393.3,67799.78,9840.358,1149993,56478.4,3732.384,88645.85,10669.95,4872.708,270867.9,9632.11,6727.556,629874.8,82802.18,5744.373,509927.7,49233.97,24.87315,24.82224,23.91692,23.90676,21.9765,22.10857,23.52057,23.47992,28.31375,28.2106,25.21947,25.23985,26.36266,26.19909,28.44793,28.67525,23.57137,23.64251,22.77898,22.67741,21.16337,21.19388,22.48442,22.22032,28.2828,28.29312,24.83243,24.93425,25.69871,25.68851,27.35655,27.37709,22.18984,22.05777,22.01713,22.06793,20.64451,20.66487,21.50904,21.34639,28.13843,28.33438,24.66956,24.7917,25.21947,25.1074,25.90285,25.94369,25.73953,25.09721,24.62885,24.15075,22.85009,22.37269,24.24228,23.70348,29.00644,28.35502,25.86201,25.45392,27.1718,26.45471,29.40062,29.03753,24.75099,23.67299,23.68315,22.83993,22.18984,21.24472,23.27673,22.35237,28.93394,28.40663,25.39274,25.05646,26.79251,25.83138,28.36535,27.58258,23.01261,22.17968,22.69773,22.13905,21.51921,20.77681,22.00698,21.5497,28.58222,28.45826,24.87315,24.93425,25.9539,25.19909,26.79251,26.20931,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2019-07-20 17:30:00",4,13.08,29.55,0.2123847,0.6181073,0.3904653,0.1503539,0.4825674,0.581711,0.2190176,0.4515891,0.4193649,0.225073,0.2891285,0.2399945,0.2456868,0.3032812,0.3971804,0.2440573,0.384385,-0.01212567,0.2364977,0.434619,0.4884201,0.2394318,0.4320227,0.3141333,8356.122,1735815,113649.4,6255.006,1515711,181250.4,5590.189,531705.5,69371.95,9479.362,930822.3,75900.96,2933.786,77201.81,16658.32,5427.127,342976.4,-1643.531,6926.038,674622.1,97499.15,7135.221,694487.4,64177.87,24.17897,24.1383,24.1078,24.05698,22.13734,22.24905,24.1688,24.12814,28.48565,28.31021,25.13538,25.22705,26.3086,26.16554,31.71068,31.80582,23.04112,23.09189,22.97003,22.94972,21.38557,21.43639,22.97003,22.68571,28.49598,28.51663,24.76888,24.94191,25.67557,25.71637,30.33419,30.25061,21.95452,21.80216,22.22874,22.28968,20.9891,20.96876,21.83263,21.78184,28.47532,28.70261,24.65694,24.74852,25.26781,25.18631,28.42371,28.39275,25.06409,24.44333,24.79941,24.38231,22.99034,22.53339,24.86047,24.3518,29.15812,28.5063,25.8286,25.43086,27.17887,26.43129,32.48476,32.03874,24.1688,23.14267,23.88422,23.03097,22.46231,21.54816,23.79276,22.87864,29.15812,28.66127,25.32895,25.02336,26.75871,25.83881,31.24663,30.3551,22.74663,21.91389,22.98019,22.33029,21.82247,21.07045,22.442,21.96468,28.93021,28.76465,24.81976,24.92155,26.09404,25.25761,29.2722,28.56827,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2019-07-20 18:00:00",5,13.2,29.45,0.206717,0.4627094,0.4830984,0.1827559,0.4358843,0.4043379,0.2102679,0.5112952,0.351944,0.2191619,0.2851357,0.2292485,0.3151099,0.3882401,0.276391,0.3415805,0.313508,0.08078276,0.2102769,0.3575323,0.3907907,0.5013556,0.5852205,0.2937558,8133.131,1299415,140611.3,7602.989,1369083,125984.2,5366.864,602004,58219.09,9230.406,917967.6,72502.42,3762.779,98828.55,11592.24,7595.759,279734.8,10949.41,6158.138,554966.9,78010.23,14940.72,940756.8,60014.73,24.43228,24.35093,24.1476,24.10694,22.46147,22.56302,25.17523,25.17523,28.43306,28.27831,25.14468,25.26692,26.28724,26.16463,31.29823,31.36142,22.96919,22.9895,23.12151,23.09105,21.67943,21.73023,23.86303,23.52777,28.55697,28.55697,24.79852,24.94102,25.75627,25.72567,30.79381,30.62612,21.8826,21.79118,22.40055,22.48178,21.30345,21.25263,22.5224,22.43101,28.60862,28.75334,24.61537,24.75781,25.34842,25.21598,29.48922,29.40613,25.379,24.68659,24.8087,24.37127,23.36525,22.8778,25.93996,25.42996,29.08458,28.41242,25.76647,25.379,27.16768,26.47127,32.08006,31.42466,24.10694,23.1012,24.02563,23.1926,22.73564,21.8115,24.58485,23.70046,29.1364,28.63962,25.33824,25.05302,26.79874,25.89913,31.58288,30.66802,22.68487,21.86229,23.17229,22.58332,22.07558,21.38476,23.13167,22.62394,29.02242,28.85678,24.82905,24.9003,26.1442,25.32804,30.26004,29.58275,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2019-07-20 18:30:00",6,13.28,28.95,0.2049037,0.5563813,0.3286532,0.1648736,0.5569382,0.3757185,0.1790438,0.4275321,0.4545034,0.2486775,0.2843148,0.1689623,0.2316534,0.2468064,0.2379926,0.2391795,0.2414824,0.0199006,0.219303,0.4224045,0.3260436,0.302801,0.5747848,0.2909167,8061.789,1562472,95658.23,6859.05,1749305,117066.9,4569.901,503380.5,75184.62,10473.51,915324.7,53436.23,2766.21,62825.85,9981.755,5318.658,215468.2,2697.356,6422.475,655662.5,65085.32,9023.664,923981.2,59434.7,24.51365,24.48314,24.01546,24.0053,22.89811,22.91842,25.47073,25.49112,28.16489,28.08246,25.08356,25.23635,26.23615,26.1442,30.27048,30.28093,23.37541,23.44651,23.12151,23.13167,22.0248,22.10604,24.34076,24.02563,28.35051,28.37115,24.86976,24.9512,25.72567,25.74607,30.09302,30.00959,22.23807,22.05527,22.51225,22.60364,21.57783,21.56767,23.16213,22.94888,28.495,28.63962,24.65606,24.79852,25.39938,25.28729,29.41651,29.41651,25.33824,24.77817,24.66624,24.28992,23.72078,23.25353,26.28724,25.72567,28.85678,28.29893,25.8277,25.46054,27.06514,26.42014,31.12986,30.4691,24.53399,23.51761,24.1171,23.1926,23.15198,22.23807,25.14468,24.21876,28.99135,28.55697,25.34842,25.09375,26.82947,25.87872,31.02475,30.06173,23.03012,22.2076,23.31447,22.72548,22.47163,21.65911,23.73094,23.1926,28.83608,28.74299,24.86976,24.99192,26.23615,25.45035,30.1765,29.59314,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2019-07-20 19:00:00",7,13.07,27.4,0.2093751,0.3990541,0.4925571,0.15723,0.3255535,0.4532781,0.1900442,0.3879517,0.3424022,0.2530426,0.2842795,0.1905441,0.188569,0.3000167,0.2133442,0.2009426,0.2604196,0.06483553,0.2120014,0.3515537,0.2873781,0.2768698,0.7574214,0.2670957,8237.713,1120654,143364.3,6541.063,1022541,141233.1,4850.673,456778.2,56640.66,10657.36,915211.2,60261.74,2251.733,76370.82,8947.964,4468.381,232365.4,8787.9,6208.64,545686.9,57366.85,8250.896,1217574,54568.04,23.53792,23.45667,23.77158,23.81222,22.97935,23.01996,24.97157,24.92067,27.94858,27.85595,25.03265,25.13449,25.99101,25.93996,29.21934,29.14677,22.61379,22.58332,23.07074,23.03012,22.42085,22.44116,24.23909,23.99514,28.14428,28.21643,24.81888,24.99192,25.73587,25.72567,29.24008,29.1053,21.78102,21.67943,22.53255,22.62394,22.01464,21.9537,23.31447,23.13167,28.26799,28.44338,24.75781,24.87994,25.42996,25.34842,28.99135,29.00171,24.35093,23.7411,24.44246,24.1171,23.82239,23.34494,25.62367,25.10393,28.50533,28.07216,25.67466,25.3688,26.81923,26.22593,30.00959,29.34384,23.7411,22.73564,23.95449,23.20276,23.41603,22.58332,25.04284,24.18826,28.70164,28.34019,25.30767,25.1243,26.74755,25.89913,30.16607,29.12604,22.50209,21.74039,23.22307,22.69502,22.80672,22.09589,23.8427,23.33478,28.62929,28.5673,24.94102,25.01229,26.20549,25.5319,29.62434,29.16749,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
