Date,VWC_10cm_RC1SM,VWC_10cm_RCSM2,VWC_10cm_RCSM3,VWC_10cm_RCSM5,VWC_30cm_RC1SM,VWC_30cm_RCSM2,VWC_30cm_RCSM3,VWC_30cm_RCSM5,VWC_1m_RC1SM,VWC_1m_RCSM5,VWC_5cm_RCSM2,VWC_5cm_RCSM3,VWC_20cm_RCSM2,VWC_20cm_RCSM3,VWC_40cm_RCSM2,VWC_40cm_RCSM3,VWC_50cm_RCSM2,VWC_50cm_RCSM3,VWC_60cm_RCSM2,VWC_60cm_RCSM3,VWC_75cm_RCSM2,VWC_75cm_RCSM3,VWC_100cm_RCSM2,VWC_100cm_RCSM3
2019-07-09 17:30:00,0.2351,NA,NA,NA,0.2456,NA,NA,NA,0.2997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 18:00:00,0.2351,NA,NA,NA,0.2456,NA,NA,NA,0.3001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 18:30:00,0.2351,NA,NA,NA,0.2456,NA,NA,NA,0.3001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 19:00:00,0.2351,NA,NA,0.338,0.246,NA,NA,0.3705,0.3001,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 19:30:00,0.2355,NA,NA,0.338,0.2456,NA,NA,0.3699,0.3001,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 20:00:00,0.2358,NA,NA,0.3376,0.246,NA,NA,0.3699,0.3001,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 20:30:00,0.2358,NA,NA,0.3376,0.246,NA,NA,0.3699,0.3005,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 21:00:00,0.2363,NA,NA,0.3376,0.2456,NA,NA,0.3694,0.3005,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 21:30:00,0.2363,NA,NA,0.3376,0.2456,NA,NA,0.3699,0.3005,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 22:00:00,0.2363,NA,NA,0.3384,0.2456,NA,NA,0.3694,0.3005,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 22:30:00,0.2371,NA,NA,0.3376,0.2452,NA,NA,0.3699,0.3008,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 23:00:00,0.2367,NA,NA,0.3384,0.2452,NA,NA,0.3699,0.3008,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-09 23:30:00,0.2374,NA,NA,0.338,0.2452,NA,NA,0.3694,0.3005,0.4983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 00:00:00,0.2374,NA,NA,0.338,0.2456,NA,NA,0.3699,0.3008,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 00:30:00,0.2374,NA,NA,0.338,0.2456,NA,NA,0.3694,0.3011,0.4983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 01:00:00,0.2379,NA,NA,0.3376,0.2456,NA,NA,0.3705,0.3011,0.4983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 01:30:00,0.2379,NA,NA,0.338,0.246,NA,NA,0.3705,0.3011,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 02:00:00,0.2383,NA,NA,0.3376,0.2464,NA,NA,0.3699,0.3011,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 02:30:00,0.2383,NA,NA,0.3384,0.2464,NA,NA,0.3705,0.3011,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 03:00:00,0.2387,NA,NA,0.3384,0.2468,NA,NA,0.3705,0.3011,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 03:30:00,0.2387,NA,NA,0.338,0.2479,NA,NA,0.3705,0.3011,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 04:00:00,0.2387,NA,NA,0.338,0.2483,NA,NA,0.3705,0.3011,0.4983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 04:30:00,0.239,NA,NA,0.3384,0.249,NA,NA,0.3711,0.3015,0.4983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 05:00:00,0.239,NA,NA,0.338,0.2494,NA,NA,0.3705,0.3015,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 05:30:00,0.239,NA,NA,0.3384,0.2498,NA,NA,0.3705,0.3015,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 06:00:00,0.239,NA,NA,0.3384,0.2502,NA,NA,0.3711,0.3015,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 06:30:00,0.239,NA,NA,0.3384,0.2505,NA,NA,0.3705,0.3015,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 07:00:00,0.2394,NA,NA,0.3384,0.2509,NA,NA,0.3711,0.3019,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 07:30:00,0.2394,NA,NA,0.3384,0.2509,NA,NA,0.3711,0.3015,0.4998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 08:00:00,0.239,NA,NA,0.3384,0.2509,NA,NA,0.3711,0.3019,0.4998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-10 08:30:00,0.239,NA,NA,0.338,0.2509,NA,NA,0.3705,0.3019,0.4983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
