"Plot Title: RCSM5"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538922, LBL: RCSM5 30 CM)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538923, LBL: RCSM5 1M)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538924, LBL: RCSM5 10 CM)"
1,05/01/21 03:00:01 PM,0.3542,0.4095,0.3616
2,05/01/21 03:30:01 PM,0.3547,0.4107,0.3628
3,05/01/21 04:00:01 PM,0.3547,0.4107,0.3622
4,05/01/21 04:30:01 PM,0.3542,0.4107,0.3628
5,05/01/21 05:00:01 PM,0.3547,0.4107,0.3628
6,05/01/21 05:30:01 PM,0.3547,0.4107,0.3628
7,05/01/21 06:00:01 PM,0.3542,0.4107,0.3628
8,05/01/21 06:30:01 PM,0.3542,0.4107,0.3628
9,05/01/21 07:00:01 PM,0.3542,0.4107,0.3616
10,05/01/21 07:30:01 PM,0.3542,0.4102,0.3622
11,05/01/21 08:00:01 PM,0.3542,0.4102,0.3622
12,05/01/21 08:30:01 PM,0.3542,0.4102,0.3622
13,05/01/21 09:00:01 PM,0.3542,0.4102,0.3616
14,05/01/21 09:30:01 PM,0.3542,0.4102,0.3611
15,05/01/21 10:00:01 PM,0.3542,0.4102,0.3616
16,05/01/21 10:30:01 PM,0.3542,0.4102,0.3616
17,05/01/21 11:00:01 PM,0.3542,0.4102,0.3616
18,05/01/21 11:30:01 PM,0.3542,0.4102,0.3622
19,05/02/21 12:00:01 AM,0.3542,0.4102,0.3611
20,05/02/21 12:30:01 AM,0.3542,0.4102,0.3611
21,05/02/21 01:00:01 AM,0.3542,0.4102,0.3616
22,05/02/21 01:30:01 AM,0.3547,0.4102,0.3616
23,05/02/21 02:00:01 AM,0.3542,0.4102,0.3611
24,05/02/21 02:30:01 AM,0.3542,0.4102,0.3616
25,05/02/21 03:00:01 AM,0.3542,0.4102,0.3611
26,05/02/21 03:30:01 AM,0.3542,0.4095,0.3616
27,05/02/21 04:00:01 AM,0.3542,0.4102,0.3616
