"Plot Title: RCSF2"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20205243, SEN S/N: 20198357, LBL: new sap flow 30 cm)","Water Content, m³/m³ (LGR S/N: 20205243, SEN S/N: 21077015, LBL: new sap flow 60 cm)"
1,05/01/21 03:00:01 PM,0.2865,0.3206
2,05/01/21 03:30:01 PM,0.2872,0.3213
3,05/01/21 04:00:01 PM,0.2872,0.3206
4,05/01/21 04:30:01 PM,0.2872,0.3213
5,05/01/21 05:00:01 PM,0.2872,0.3213
6,05/01/21 05:30:01 PM,0.2865,0.3213
7,05/01/21 06:00:01 PM,0.2865,0.3220
8,05/01/21 06:30:01 PM,0.2872,0.3228
9,05/01/21 07:00:01 PM,0.2865,0.3228
10,05/01/21 07:30:01 PM,0.2865,0.3228
11,05/01/21 08:00:01 PM,0.2865,0.3220
12,05/01/21 08:30:01 PM,0.2865,0.3228
13,05/01/21 09:00:01 PM,0.2872,0.3220
14,05/01/21 09:30:01 PM,0.2872,0.3220
15,05/01/21 10:00:01 PM,0.2872,0.3228
16,05/01/21 10:30:01 PM,0.2872,0.3228
17,05/01/21 11:00:01 PM,0.2872,0.3228
18,05/01/21 11:30:01 PM,0.2865,0.3235
19,05/02/21 12:00:01 AM,0.2865,0.3220
20,05/02/21 12:30:01 AM,0.2872,0.3220
21,05/02/21 01:00:01 AM,0.2865,0.3220
22,05/02/21 01:30:01 AM,0.2865,0.3228
23,05/02/21 02:00:01 AM,0.2865,0.3220
24,05/02/21 02:30:01 AM,0.2865,0.3228
25,05/02/21 03:00:01 AM,0.2872,0.3228
26,05/02/21 03:30:01 AM,0.2872,0.3235
27,05/02/21 04:00:01 AM,0.2865,0.3235
28,05/02/21 04:30:01 AM,0.2872,0.3235
29,05/02/21 05:00:01 AM,0.2865,0.3235
30,05/02/21 05:30:01 AM,0.2872,0.3235
31,05/02/21 06:00:01 AM,0.2865,0.3235
32,05/02/21 06:30:01 AM,0.2872,0.3235
33,05/02/21 07:00:01 AM,0.2872,0.3235
34,05/02/21 07:30:01 AM,0.2865,0.3235
35,05/02/21 08:00:01 AM,0.2872,0.3235
36,05/02/21 08:30:01 AM,0.2865,0.3228
37,05/02/21 09:00:01 AM,0.2872,0.3228
38,05/02/21 09:30:01 AM,0.2865,0.3235
39,05/02/21 10:00:01 AM,0.2865,0.3235
40,05/02/21 10:30:01 AM,0.2872,0.3235
41,05/02/21 11:00:01 AM,0.2865,0.3235
42,05/02/21 11:30:01 AM,0.2865,0.3235
43,05/02/21 12:00:01 PM,0.2865,0.3235
44,05/02/21 12:30:01 PM,0.2872,0.3235
45,05/02/21 01:00:01 PM,0.2865,0.3228
46,05/02/21 01:30:01 PM,0.2865,0.3242
47,05/02/21 02:00:01 PM,0.2865,0.3242
48,05/02/21 02:30:01 PM,0.2872,0.3242
49,05/02/21 03:00:01 PM,0.2872,0.3242
50,05/02/21 03:30:01 PM,0.2865,0.3242
51,05/02/21 04:00:01 PM,0.2865,0.3242
52,05/02/21 04:30:01 PM,0.2865,0.3242
53,05/02/21 05:00:01 PM,0.2865,0.3242
54,05/02/21 05:30:01 PM,0.2857,0.3242
55,05/02/21 06:00:01 PM,0.2857,0.3242
56,05/02/21 06:30:01 PM,0.2857,0.3242
57,05/02/21 07:00:01 PM,0.2857,0.3242
58,05/02/21 07:30:01 PM,0.2857,0.3242
59,05/02/21 08:00:01 PM,0.2865,0.3235
60,05/02/21 08:30:01 PM,0.2857,0.3228
61,05/02/21 09:00:01 PM,0.2857,0.3235
62,05/02/21 09:30:01 PM,0.2857,0.3242
63,05/02/21 10:00:01 PM,0.2857,0.3242
64,05/02/21 10:30:01 PM,0.2857,0.3242
65,05/02/21 11:00:01 PM,0.2857,0.3242
66,05/02/21 11:30:01 PM,0.2857,0.3242
67,05/03/21 12:00:01 AM,0.2857,0.3242
68,05/03/21 12:30:01 AM,0.2857,0.3242
69,05/03/21 01:00:01 AM,0.2857,0.3228
70,05/03/21 01:30:01 AM,0.2857,0.3235
71,05/03/21 02:00:01 AM,0.2857,0.3235
72,05/03/21 02:30:01 AM,0.2857,0.3235
73,05/03/21 03:00:01 AM,0.2865,0.3235
74,05/03/21 03:30:01 AM,0.2857,0.3235
75,05/03/21 04:00:01 AM,0.2857,0.3235
76,05/03/21 04:30:01 AM,0.2857,0.3235
77,05/03/21 05:00:01 AM,0.2857,0.3235
78,05/03/21 05:30:01 AM,0.2850,0.3235
79,05/03/21 06:00:01 AM,0.2857,0.3228
80,05/03/21 06:30:01 AM,0.2857,0.3228
81,05/03/21 07:00:01 AM,0.2857,0.3235
82,05/03/21 07:30:01 AM,0.2857,0.3235
83,05/03/21 08:00:01 AM,0.2850,0.3228
84,05/03/21 08:30:01 AM,0.2857,0.3235
85,05/03/21 09:00:01 AM,0.2857,0.3228
86,05/03/21 09:30:01 AM,0.2857,0.3235
87,05/03/21 10:00:01 AM,0.2857,0.3235
88,05/03/21 10:30:01 AM,0.2850,0.3235
89,05/03/21 11:00:01 AM,0.2857,0.3235
90,05/03/21 11:30:01 AM,0.2857,0.3235
91,05/03/21 12:00:01 PM,0.2850,0.3228
92,05/03/21 12:30:01 PM,0.2857,0.3242
93,05/03/21 01:00:01 PM,0.2857,0.3235
94,05/03/21 01:30:01 PM,0.2850,0.3235
95,05/03/21 02:00:01 PM,0.2850,0.3235
96,05/03/21 02:30:01 PM,0.2850,0.3235
97,05/03/21 03:00:01 PM,0.2850,0.3235
98,05/03/21 03:30:01 PM,0.2850,0.3228
99,05/03/21 04:00:01 PM,0.2850,0.3228
100,05/03/21 04:30:01 PM,0.2850,0.3228
101,05/03/21 05:00:01 PM,0.2843,0.3235
102,05/03/21 05:30:01 PM,0.2843,0.3228
103,05/03/21 06:00:01 PM,0.2843,0.3242
104,05/03/21 06:30:01 PM,0.2843,0.3242
105,05/03/21 07:00:01 PM,0.2850,0.3242
106,05/03/21 07:30:01 PM,0.2843,0.3242
107,05/03/21 08:00:01 PM,0.2843,0.3235
108,05/03/21 08:30:01 PM,0.2850,0.3235
109,05/03/21 09:00:01 PM,0.2843,0.3228
110,05/03/21 09:30:01 PM,0.2850,0.3228
111,05/03/21 10:00:01 PM,0.2843,0.3228
112,05/03/21 10:30:01 PM,0.2850,0.3235
113,05/03/21 11:00:01 PM,0.2843,0.3235
114,05/03/21 11:30:01 PM,0.2843,0.3242
115,05/04/21 12:00:01 AM,0.2843,0.3235
116,05/04/21 12:30:01 AM,0.2843,0.3235
117,05/04/21 01:00:01 AM,0.2850,0.3235
118,05/04/21 01:30:01 AM,0.2843,0.3242
119,05/04/21 02:00:01 AM,0.2843,0.3235
120,05/04/21 02:30:01 AM,0.2843,0.3235
121,05/04/21 03:00:01 AM,0.2843,0.3235
122,05/04/21 03:30:01 AM,0.2850,0.3235
123,05/04/21 04:00:01 AM,0.2843,0.3228
124,05/04/21 04:30:01 AM,0.2850,0.3235
125,05/04/21 05:00:01 AM,0.2843,0.3235
126,05/04/21 05:30:01 AM,0.2850,0.3235
127,05/04/21 06:00:01 AM,0.2843,0.3235
128,05/04/21 06:30:01 AM,0.2850,0.3228
129,05/04/21 07:00:01 AM,0.2843,0.3235
130,05/04/21 07:30:01 AM,0.2843,0.3235
131,05/04/21 08:00:01 AM,0.2850,0.3228
132,05/04/21 08:30:01 AM,0.2850,0.3235
133,05/04/21 09:00:01 AM,0.2843,0.3235
134,05/04/21 09:30:01 AM,0.2850,0.3235
135,05/04/21 10:00:01 AM,0.2843,0.3235
136,05/04/21 10:30:01 AM,0.2843,0.3228
137,05/04/21 11:00:01 AM,0.2843,0.3220
138,05/04/21 11:30:01 AM,0.2843,0.3220
139,05/04/21 12:00:01 PM,0.2843,0.3228
140,05/04/21 12:30:01 PM,0.2843,0.3228
141,05/04/21 01:00:01 PM,0.2843,0.3220
142,05/04/21 01:30:01 PM,0.2843,0.3228
143,05/04/21 02:00:01 PM,0.2843,0.3228
144,05/04/21 02:30:01 PM,0.2843,0.3228
145,05/04/21 03:00:01 PM,0.2843,0.3228
146,05/04/21 03:30:01 PM,0.2843,0.3220
147,05/04/21 04:00:01 PM,0.2843,0.3228
148,05/04/21 04:30:01 PM,0.2843,0.3228
149,05/04/21 05:00:01 PM,0.2843,0.3228
150,05/04/21 05:30:01 PM,0.2843,0.3228
151,05/04/21 06:00:01 PM,0.2843,0.3228
152,05/04/21 06:30:01 PM,0.2843,0.3228
