"TOA5","SoilvueRC3","CR300","16518","CR300.Std.08.01","CPU:RCSM3_CR300_May2021.CR300","22797","RCSM2_avg"
"TIMESTAMP","RECORD","VWC_5cm_Avg","Ka_5cm_Avg","T_5cm_Avg","BulkEC_5cm_Avg","VWC_10cm_Avg","Ka_10cm_Avg","T_10cm_Avg","BulkEC_10cm_Avg","VWC_20cm_Avg","Ka_20cm_Avg","T_20cm_Avg","BulkEC_20cm_Avg","VWC_30cm_Avg","Ka_30cm_Avg","T_30cm_Avg","BulkEC_30cm_Avg","VWC_40cm_Avg","Ka_40cm_Avg","T_40cm_Avg","BulkEC_40cm_Avg","VWC_50cm_Avg","Ka_50cm_Avg","T_50cm_Avg","BulkEC_50cm_Avg","VWC_60cm_Avg","Ka_60cm_Avg","T_60cm_Avg","BulkEC_60cm_Avg","VWC_75cm_Avg","Ka_75cm_Avg","T_75cm_Avg","BulkEC_75cm_Avg","VWC_100cm_Avg","Ka_100cm_Avg","T_100cm_Avg","BulkEC_100cm_Avg"
"TS","RN","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-05-01 10:30:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05-01 11:00:00",1,0.113,8.39,2.687,0.009,0.11,8.11,2.319,0.008,0.109,8.02,1.995,0.005,0.095,6.854,1.882,0.006,0.076,5.155,1.804,0.002,0.089,6.383,1.708,0.003,0.077,5.188,1.679,0.004,0.106,7.756,1.635,0.006,0.118,8.78,1.574,0.005
"2021-05-01 11:30:00",2,0.679,50.35,16.12,0.056,0.66,48.66,13.91,0.046,0.654,48.11,11.97,0.032,0.572,41.12,11.29,0.035,0.457,30.93,10.82,0.012,0.536,38.3,10.25,0.018,0.459,31.13,10.07,0.023,0.636,46.54,9.81,0.037,0.705,52.69,9.44,0.031
"2021-05-01 12:00:00",3,0.68,50.37,15.98,0.055,0.66,48.6,13.71,0.045,0.645,47.31,11.73,0.03,0.57,41.01,11.03,0.034,0.456,30.78,10.54,0.011,0.534,38.13,9.98,0.016,0.456,30.86,9.79,0.023,0.631,46.07,9.52,0.035,0.69,51.39,9.1,0.028
"2021-05-01 12:30:00",4,0.68,50.44,15.26,0.053,0.657,48.33,12.7,0.042,0.598,43.33,10.51,0.019,0.563,40.43,9.75,0.029,0.448,30.01,9.14,0.006,0.524,37.29,8.61,0.008,0.442,29.49,8.35,0.02,0.604,43.76,8.03,0.023,0.617,44.91,7.384,0.013
"2021-05-01 13:00:00",5,0.681,50.45,15.27,0.053,0.656,48.24,12.63,0.042,0.595,43.01,10.4,0.019,0.563,40.38,9.62,0.029,0.448,30.01,9.01,0.005,0.523,37.22,8.48,0.008,0.442,29.46,8.22,0.02,0.602,43.64,7.898,0.023,0.614,44.65,7.235,0.012
"2021-05-01 13:30:00",6,0.681,50.52,15.31,0.053,0.651,47.8,12.29,0.042,0.575,41.41,9.86,0.014,0.559,40.12,9.01,0.026,0.448,30.02,8.37,0.004,0.518,36.88,7.824,0.008,0.44,29.32,7.551,0.018,0.595,43.06,7.217,0.021,0.599,43.35,6.492,0.006
"2021-05-01 14:00:00",7,0.68,50.44,15.39,0.053,0.65,47.76,12.29,0.041,0.573,41.24,9.79,0.014,0.559,40.1,8.94,0.025,0.448,30.01,8.3,0.003,0.518,36.86,7.747,0.007,0.439,29.2,7.474,0.018,0.594,42.98,7.137,0.021,0.597,43.17,6.417,0.006
