"Plot Title: RCSM3_temp"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20418944, SEN S/N: 20684004, LBL: RCSM3_temp_30cm)","Water Content, m³/m³ (LGR S/N: 20418944, SEN S/N: 21077014, LBL: RCSM3_temp_70cm)"
1,04/02/22 10:00:01 AM,0.5259,0.4593
2,04/02/22 10:30:01 AM,0.5259,0.4593
3,04/02/22 11:00:01 AM,0.5249,0.4593
4,04/02/22 11:30:01 AM,0.5259,0.4601
5,04/02/22 12:00:01 PM,0.5259,0.4593
6,04/02/22 12:30:01 PM,0.5259,0.4593
7,04/02/22 01:00:01 PM,0.5259,0.4593
8,04/02/22 01:30:01 PM,0.5259,0.4593
9,04/02/22 02:00:01 PM,0.5259,0.4593
10,04/02/22 02:30:01 PM,0.5259,0.4593
11,04/02/22 03:00:01 PM,0.5249,0.4593
12,04/02/22 03:30:01 PM,0.5259,0.4593
13,04/02/22 04:00:01 PM,0.5259,0.4593
14,04/02/22 04:30:01 PM,0.5259,0.4593
15,04/02/22 05:00:01 PM,0.5249,0.4593
16,04/02/22 05:30:01 PM,0.5259,0.4593
17,04/02/22 06:00:01 PM,0.5259,0.4593
18,04/02/22 06:30:01 PM,0.5259,0.4593
19,04/02/22 07:00:01 PM,0.5259,0.4593
20,04/02/22 07:30:01 PM,0.5249,0.4593
21,04/02/22 08:00:01 PM,0.5249,0.4593
22,04/02/22 08:30:01 PM,0.5249,0.4601
23,04/02/22 09:00:01 PM,0.5249,0.4593
24,04/02/22 09:30:01 PM,0.5249,0.4601
25,04/02/22 10:00:01 PM,0.5249,0.4601
26,04/02/22 10:30:01 PM,0.5249,0.4601
27,04/02/22 11:00:01 PM,0.5249,0.4601
28,04/02/22 11:30:01 PM,0.5249,0.4601
29,04/03/22 12:00:01 AM,0.5249,0.4601
30,04/03/22 12:30:01 AM,0.5249,0.4601
31,04/03/22 01:00:01 AM,0.5249,0.4601
32,04/03/22 01:30:01 AM,0.5241,0.4601
33,04/03/22 02:00:01 AM,0.5249,0.4601
34,04/03/22 02:30:01 AM,0.5249,0.4601
35,04/03/22 03:00:01 AM,0.5249,0.4601
36,04/03/22 03:30:01 AM,0.5249,0.4601
37,04/03/22 04:00:01 AM,0.5249,0.4601
38,04/03/22 04:30:01 AM,0.5249,0.4601
39,04/03/22 05:00:01 AM,0.5249,0.4601
40,04/03/22 05:30:01 AM,0.5241,0.4593
41,04/03/22 06:00:01 AM,0.5249,0.4593
42,04/03/22 06:30:01 AM,0.5241,0.4593
43,04/03/22 07:00:01 AM,0.5241,0.4593
44,04/03/22 07:30:01 AM,0.5249,0.4593
45,04/03/22 08:00:01 AM,0.5249,0.4593
46,04/03/22 08:30:01 AM,0.5259,0.4593
47,04/03/22 09:00:01 AM,0.5259,0.4593
48,04/03/22 09:30:01 AM,0.5259,0.4593
49,04/03/22 10:00:01 AM,0.5259,0.4593
50,04/03/22 10:30:01 AM,0.5249,0.4593
51,04/03/22 11:00:01 AM,0.5233,0.4593
52,04/03/22 11:30:01 AM,0.5259,0.4593
53,04/03/22 12:00:01 PM,0.5259,0.4593
54,04/03/22 12:30:01 PM,0.5249,0.4593
55,04/03/22 01:00:01 PM,0.5241,0.4586
56,04/03/22 01:30:01 PM,0.5249,0.4586
57,04/03/22 02:00:01 PM,0.5259,0.4586
58,04/03/22 02:30:01 PM,0.5266,0.4586
59,04/03/22 03:00:01 PM,0.3859,0.4586
60,04/03/22 03:30:01 PM,0.5233,0.4586
61,04/03/22 04:00:01 PM,0.5233,0.4586
62,04/03/22 04:30:01 PM,0.5259,0.4586
63,04/03/22 05:00:01 PM,0.5259,0.4586
64,04/03/22 05:30:01 PM,0.5259,0.4586
