"Plot Title: RCSM5"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538922, LBL: RCSM5 30 CM)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538923, LBL: RCSM5 1M)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538924, LBL: RCSM5 10 CM)"
1,04/02/22 11:00:01 AM,0.7184,0.4723,-0.4737
2,04/02/22 11:30:01 AM,0.7184,0.4723,-0.4737
3,04/02/22 12:00:01 PM,0.7184,0.4723,-0.4737
4,04/02/22 12:30:01 PM,0.7184,0.4723,-0.4737
5,04/02/22 01:00:01 PM,0.7184,0.4723,-0.4737
6,04/02/22 01:30:01 PM,0.7184,0.4723,-0.4737
7,04/02/22 02:00:01 PM,0.7184,0.4723,-0.4737
8,04/02/22 02:30:01 PM,0.7184,0.4723,-0.4737
9,04/02/22 03:00:01 PM,0.7184,0.4723,-0.4737
10,04/02/22 03:30:01 PM,0.7184,0.4723,-0.4737
11,04/02/22 04:00:01 PM,0.7184,0.4723,-0.4737
12,04/02/22 04:30:01 PM,0.7184,0.4723,-0.4737
13,04/02/22 05:00:01 PM,0.7184,0.4723,-0.4737
14,04/02/22 05:30:01 PM,0.7184,0.4723,-0.4737
15,04/02/22 06:00:01 PM,0.7184,0.4723,-0.4737
16,04/02/22 06:30:01 PM,0.7184,0.4723,-0.4737
17,04/02/22 07:00:01 PM,0.7184,0.4723,-0.4737
18,04/02/22 07:30:01 PM,0.7184,0.4716,-0.4737
19,04/02/22 08:00:01 PM,0.7184,0.4716,-0.4737
20,04/02/22 08:30:01 PM,0.7184,0.4716,-0.4737
21,04/02/22 09:00:01 PM,0.7184,0.4716,-0.4737
22,04/02/22 09:30:01 PM,0.7184,0.4716,-0.4737
23,04/02/22 10:00:01 PM,0.7184,0.4716,-0.4737
24,04/02/22 10:30:01 PM,0.7184,0.4716,-0.4737
25,04/02/22 11:00:01 PM,0.7184,0.4716,-0.4737
26,04/02/22 11:30:01 PM,0.7184,0.4716,-0.4737
27,04/03/22 12:00:01 AM,0.7184,0.4716,-0.4737
28,04/03/22 12:30:01 AM,0.7184,0.4716,-0.4737
29,04/03/22 01:00:01 AM,0.7184,0.4716,-0.4737
30,04/03/22 01:30:01 AM,0.7184,0.4716,-0.4737
31,04/03/22 02:00:01 AM,0.7184,0.4716,-0.4737
32,04/03/22 02:30:01 AM,0.7184,0.4716,-0.4737
33,04/03/22 03:00:01 AM,0.7184,0.4716,-0.4737
34,04/03/22 03:30:01 AM,0.7184,0.4716,-0.4737
35,04/03/22 04:00:01 AM,0.7184,0.4716,-0.4737
36,04/03/22 04:30:01 AM,0.7184,0.4716,-0.4737
37,04/03/22 05:00:01 AM,0.7184,0.4716,-0.4737
38,04/03/22 05:30:01 AM,0.7184,0.4716,-0.4737
39,04/03/22 06:00:01 AM,0.7184,0.4716,-0.4737
40,04/03/22 06:30:01 AM,0.7184,0.4716,-0.4737
41,04/03/22 07:00:01 AM,0.7184,0.4716,-0.4737
42,04/03/22 07:30:01 AM,0.7184,0.4716,-0.4737
43,04/03/22 08:00:01 AM,0.7184,0.4716,-0.4737
44,04/03/22 08:30:01 AM,0.7184,0.4716,-0.4737
45,04/03/22 09:00:01 AM,0.7184,0.4716,-0.4737
46,04/03/22 09:30:01 AM,0.7184,0.4723,-0.4737
47,04/03/22 10:00:01 AM,0.7184,0.4723,-0.4737
48,04/03/22 10:30:01 AM,0.7184,0.4723,-0.4737
49,04/03/22 11:00:01 AM,0.7184,0.4723,-0.4737
50,04/03/22 11:30:01 AM,0.7184,0.4723,-0.4737
51,04/03/22 12:00:01 PM,0.7184,0.4723,-0.4737
52,04/03/22 12:30:01 PM,0.7184,0.4723,-0.4737
53,04/03/22 01:00:01 PM,0.7184,0.4723,-0.4737
54,04/03/22 01:30:01 PM,0.7184,0.4723,-0.4737
55,04/03/22 02:00:01 PM,0.7184,0.4723,-0.4737
56,04/03/22 02:30:01 PM,0.7184,0.4723,-0.4737
57,04/03/22 03:00:01 PM,0.7184,0.4723,-0.4737
58,04/03/22 03:30:01 PM,0.7184,0.4723,-0.4737
59,04/03/22 04:00:01 PM,0.7184,0.4723,-0.4737
60,04/03/22 04:30:01 PM,0.7184,0.4723,-0.4737
61,04/03/22 05:00:01 PM,0.7184,0.4723,-0.4737
62,04/03/22 05:30:01 PM,0.7184,0.4723,-0.4737
63,04/03/22 06:00:01 PM,0.7184,0.4723,-0.4737
64,04/03/22 06:30:01 PM,0.7184,0.4723,-0.4737
65,04/03/22 07:00:01 PM,0.7184,0.4723,-0.4737
66,04/03/22 07:30:01 PM,0.7184,0.4723,-0.4737
67,04/03/22 08:00:01 PM,0.7184,0.4723,-0.4737
68,04/03/22 08:30:01 PM,0.7184,0.4723,-0.4737
69,04/03/22 09:00:01 PM,0.7184,0.4716,-0.4737
70,04/03/22 09:30:01 PM,0.7184,0.4716,-0.4737
71,04/03/22 10:00:01 PM,0.7184,0.4716,-0.4737
72,04/03/22 10:30:01 PM,0.7184,0.4716,-0.4737
73,04/03/22 11:00:01 PM,0.7184,0.4716,-0.4737
74,04/03/22 11:30:01 PM,0.7184,0.4716,-0.4737
75,04/04/22 12:00:01 AM,0.7184,0.4716,-0.4737
76,04/04/22 12:30:01 AM,0.7184,0.4716,-0.4737
77,04/04/22 01:00:01 AM,0.7184,0.4716,-0.4737
78,04/04/22 01:30:01 AM,0.7184,0.4716,-0.4737
79,04/04/22 02:00:01 AM,0.7184,0.4716,-0.4737
80,04/04/22 02:30:01 AM,0.7184,0.4716,-0.4737
81,04/04/22 03:00:01 AM,0.7184,0.4716,-0.4737
82,04/04/22 03:30:01 AM,0.7184,0.4716,-0.4737
83,04/04/22 04:00:01 AM,0.7184,0.4716,-0.4737
84,04/04/22 04:30:01 AM,0.7184,0.4716,-0.4737
85,04/04/22 05:00:01 AM,0.7184,0.4723,-0.4737
86,04/04/22 05:30:01 AM,0.7184,0.4723,-0.4737
87,04/04/22 06:00:01 AM,0.7184,0.4723,-0.4737
88,04/04/22 06:30:01 AM,0.7184,0.4723,-0.4737
