"Plot Title: RCSM5"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538922, LBL: RCSM5 30 CM)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538923, LBL: RCSM5 1M)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538924, LBL: RCSM5 10 CM)"
1,02/26/21 11:00:01 AM,0.3590,0.4250,0.3655
2,02/26/21 11:30:01 AM,0.3590,0.4262,0.3655
3,02/26/21 12:00:01 PM,0.3590,0.4262,0.3649
4,02/26/21 12:30:01 PM,0.3590,0.4262,0.3655
5,02/26/21 01:00:01 PM,0.3590,0.4262,0.3643
6,02/26/21 01:30:01 PM,0.3590,0.4262,0.3655
7,02/26/21 02:00:01 PM,0.3590,0.4262,0.3649
8,02/26/21 02:30:01 PM,0.3590,0.4262,0.3660
9,02/26/21 03:00:01 PM,0.3590,0.4262,0.3666
10,02/26/21 03:30:01 PM,0.3590,0.4255,0.3677
11,02/26/21 04:00:01 PM,0.3590,0.4262,0.3677
12,02/26/21 04:30:01 PM,0.3590,0.4255,0.3677
13,02/26/21 05:00:01 PM,0.3594,0.4255,0.3688
14,02/26/21 05:30:01 PM,0.3594,0.4255,0.3688
15,02/26/21 06:00:01 PM,0.3594,0.4255,0.3683
16,02/26/21 06:30:01 PM,0.3594,0.4255,0.3683
17,02/26/21 07:00:01 PM,0.3594,0.4255,0.3677
18,02/26/21 07:30:01 PM,0.3594,0.4255,0.3677
19,02/26/21 08:00:01 PM,0.3594,0.4255,0.3677
20,02/26/21 08:30:01 PM,0.3594,0.4262,0.3683
21,02/26/21 09:00:01 PM,0.3594,0.4262,0.3677
22,02/26/21 09:30:01 PM,0.3594,0.4262,0.3677
23,02/26/21 10:00:01 PM,0.3594,0.4262,0.3683
24,02/26/21 10:30:01 PM,0.3594,0.4262,0.3671
25,02/26/21 11:00:01 PM,0.3594,0.4262,0.3677
26,02/26/21 11:30:01 PM,0.3594,0.4262,0.3671
27,02/27/21 12:00:01 AM,0.3594,0.4262,0.3666
28,02/27/21 12:30:01 AM,0.3594,0.4262,0.3671
29,02/27/21 01:00:01 AM,0.3594,0.4262,0.3666
30,02/27/21 01:30:01 AM,0.3594,0.4262,0.3666
31,02/27/21 02:00:01 AM,0.3594,0.4262,0.3666
32,02/27/21 02:30:01 AM,0.3594,0.4262,0.3660
33,02/27/21 03:00:01 AM,0.3590,0.4262,0.3660
34,02/27/21 03:30:01 AM,0.3590,0.4262,0.3666
35,02/27/21 04:00:01 AM,0.3590,0.4262,0.3660
36,02/27/21 04:30:01 AM,0.3590,0.4262,0.3660
37,02/27/21 05:00:01 AM,0.3590,0.4262,0.3655
38,02/27/21 05:30:01 AM,0.3590,0.4262,0.3655
39,02/27/21 06:00:01 AM,0.3590,0.4262,0.3655
40,02/27/21 06:30:01 AM,0.3590,0.4262,0.3655
41,02/27/21 07:00:01 AM,0.3590,0.4262,0.3649
42,02/27/21 07:30:01 AM,0.3590,0.4262,0.3649
43,02/27/21 08:00:01 AM,0.3590,0.4262,0.3660
44,02/27/21 08:30:01 AM,0.3590,0.4262,0.3649
45,02/27/21 09:00:01 AM,0.3590,0.4262,0.3649
46,02/27/21 09:30:01 AM,0.3590,0.4269,0.3649
47,02/27/21 10:00:01 AM,0.3590,0.4269,0.3655
48,02/27/21 10:30:01 AM,0.3590,0.4269,0.3655
49,02/27/21 11:00:01 AM,0.3590,0.4269,0.3655
50,02/27/21 11:30:01 AM,0.3590,0.4269,0.3655
51,02/27/21 12:00:01 PM,0.3594,0.4269,0.3655
52,02/27/21 12:30:01 PM,0.3590,0.4269,0.3655
53,02/27/21 01:00:01 PM,0.3590,0.4269,0.3655
54,02/27/21 01:30:01 PM,0.3590,0.4269,0.3655
55,02/27/21 02:00:01 PM,0.3590,0.4269,0.3649
56,02/27/21 02:30:01 PM,0.3590,0.4269,0.3660
57,02/27/21 03:00:01 PM,0.3590,0.4269,0.3671
58,02/27/21 03:30:01 PM,0.3594,0.4262,0.3677
59,02/27/21 04:00:01 PM,0.3590,0.4262,0.3688
60,02/27/21 04:30:01 PM,0.3594,0.4262,0.3694
61,02/27/21 05:00:01 PM,0.3594,0.4262,0.3699
62,02/27/21 05:30:01 PM,0.3594,0.4262,0.3688
63,02/27/21 06:00:01 PM,0.3594,0.4262,0.3694
64,02/27/21 06:30:01 PM,0.3594,0.4262,0.3694
65,02/27/21 07:00:01 PM,0.3594,0.4262,0.3694
66,02/27/21 07:30:01 PM,0.3600,0.4262,0.3694
67,02/27/21 08:00:01 PM,0.3594,0.4262,0.3688
68,02/27/21 08:30:01 PM,0.3594,0.4262,0.3683
69,02/27/21 09:00:01 PM,0.3594,0.4269,0.3677
70,02/27/21 09:30:01 PM,0.3594,0.4269,0.3677
71,02/27/21 10:00:01 PM,0.3594,0.4269,0.3677
72,02/27/21 10:30:01 PM,0.3594,0.4269,0.3677
73,02/27/21 11:00:01 PM,0.3594,0.4269,0.3683
74,02/27/21 11:30:01 PM,0.3594,0.4269,0.3671
75,02/28/21 12:00:01 AM,0.3594,0.4269,0.3671
76,02/28/21 12:30:01 AM,0.3594,0.4269,0.3671
77,02/28/21 01:00:01 AM,0.3594,0.4269,0.3671
78,02/28/21 01:30:01 AM,0.3594,0.4269,0.3671
79,02/28/21 02:00:01 AM,0.3594,0.4269,0.3666
80,02/28/21 02:30:01 AM,0.3594,0.4269,0.3666
81,02/28/21 03:00:01 AM,0.3594,0.4269,0.3666
82,02/28/21 03:30:01 AM,0.3594,0.4269,0.3660
83,02/28/21 04:00:01 AM,0.3590,0.4269,0.3660
84,02/28/21 04:30:01 AM,0.3590,0.4269,0.3655
85,02/28/21 05:00:01 AM,0.3590,0.4269,0.3655
86,02/28/21 05:30:01 AM,0.3590,0.4269,0.3666
87,02/28/21 06:00:01 AM,0.3590,0.4269,0.3655
88,02/28/21 06:30:01 AM,0.3590,0.4269,0.3655
89,02/28/21 07:00:01 AM,0.3590,0.4262,0.3655
90,02/28/21 07:30:01 AM,0.3590,0.4269,0.3660
91,02/28/21 08:00:01 AM,0.3590,0.4269,0.3649
92,02/28/21 08:30:01 AM,0.3590,0.4269,0.3660
93,02/28/21 09:00:01 AM,0.3590,0.4269,0.3649
94,02/28/21 09:30:01 AM,0.3590,0.4269,0.3649
95,02/28/21 10:00:01 AM,0.3590,0.4269,0.3655
96,02/28/21 10:30:01 AM,0.3590,0.4269,0.3655
97,02/28/21 11:00:01 AM,0.3590,0.4269,0.3655
98,02/28/21 11:30:01 AM,0.3590,0.4269,0.3655
99,02/28/21 12:00:01 PM,0.3590,0.4269,0.3649
100,02/28/21 12:30:01 PM,0.3590,0.4269,0.3655
101,02/28/21 01:00:01 PM,0.3590,0.4269,0.3655
102,02/28/21 01:30:01 PM,0.3594,0.4269,0.3666
103,02/28/21 02:00:01 PM,0.3594,0.4236,0.3677
