"TOA5","CR300_RCSM2","CR300","22811","CR300.Std.10.01","CPU:RCSM2_CR300.CR300","6399","RCSM2"
"TIMESTAMP","RECORD","VWC_5cm","Ka_5cm","T_5cm","BulkEC_5cm","VWC_10cm","Ka_10cm","T_10cm","BulkEC_10cm","VWC_20cm","Ka_20cm","T_20cm","BulkEC_20cm","VWC_30cm","Ka_30cm","T_30cm","BulkEC_30cm","VWC_40cm","Ka_40cm","T_40cm","BulkEC_40cm","VWC_50cm","Ka_50cm","T_50cm","BulkEC_50cm","VWC_60cm","Ka_60cm","T_60cm","BulkEC_60cm","VWC_75cm","Ka_75cm","T_75cm","BulkEC_75cm","VWC_100cm","Ka_100cm","T_100cm","BulkEC_100cm"
"TS","RN","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-08-23 11:00:00",0,0.008,2.598,22.05,0,0.028,3.206,17.11,0,0.039,3.56,17.83,0,0.063,4.402,18.27,0,0.019,2.931,18.03,0,0.073,4.772,17.52,0,0.078,4.987,16.78,0,0.01,2.659,15.78,0,0,1.114,14.1,0
"2020-08-23 11:30:00",1,0.008,2.598,22.05,0,0.028,3.206,17.11,0,0.039,3.56,17.83,0,0.063,4.402,18.27,0,0.019,2.931,18.03,0,0.073,4.772,17.52,0,0.078,4.987,16.78,0,0.01,2.659,15.78,0,0,1.114,14.1,0
"2020-08-23 12:00:00",2,0.006,2.539,25.67,0,0.033,3.356,18.72,0,0.039,3.573,17.83,0,0.057,4.179,18.19,0,0.02,2.959,17.98,0,0.071,4.695,17.52,0,0.076,4.9,16.78,0,0.015,2.798,15.78,0,0,1.125,14.15,0
"2020-08-23 12:30:00",3,0.006,2.539,25.67,0,0.033,3.356,18.72,0,0.039,3.573,17.83,0,0.057,4.179,18.19,0,0.02,2.959,17.98,0,0.071,4.695,17.52,0,0.076,4.9,16.78,0,0.015,2.798,15.78,0,0,1.125,14.15,0
"2020-08-23 13:00:00",4,0.002,2.429,27.5,0,0.034,3.399,20.02,0,0.037,3.496,17.93,0,0.058,4.204,18.14,0,0.02,2.965,17.96,0,0.07,4.668,17.46,0,0.078,4.969,16.78,0,0.013,2.75,15.75,0,0,1.095,14.1,0
"2020-08-23 13:30:00",5,0.002,2.429,27.5,0,0.034,3.399,20.02,0,0.037,3.496,17.93,0,0.058,4.204,18.14,0,0.02,2.965,17.96,0,0.07,4.668,17.46,0,0.078,4.969,16.78,0,0.013,2.75,15.75,0,0,1.095,14.1,0
"2020-08-23 14:00:00",6,0.006,2.538,29.22,0,0.031,3.317,21.05,0,0.041,3.616,18.14,0,0.06,4.282,18.09,0,0.021,2.989,17.9,0,0.072,4.749,17.49,0,0.078,4.956,16.78,0,0.014,2.767,15.78,0,0,1.095,14.13,0
"2020-08-23 14:30:00",7,0.006,2.538,29.22,0,0.031,3.317,21.05,0,0.041,3.616,18.14,0,0.06,4.282,18.09,0,0.021,2.989,17.9,0,0.072,4.749,17.49,0,0.078,4.956,16.78,0,0.014,2.767,15.78,0,0,1.095,14.13,0
