"TOA5","CR300_RCSM3","CR300","16518","CR300.Std.08.01","CPU:SoilVUE_program.CR300","38324","Thirty_Min"
"TIMESTAMP","RECORD","VWC_5cm_Avg","Ka_5cm_Avg","T_5cm_Avg","VWC_10cm_Avg","Ka_10cm_Avg","T_10cm_Avg","BulkEC_10cm_Avg","VWC_20cm_Avg","Ka_20cm_Avg","T_20cm_Avg","BulkEC_20cm_Avg","VWC_30cm_Avg","Ka_30cm_Avg","T_30cm_Avg","BulkEC_30cm_Avg","VWC_40cm_Avg","Ka_40cm_Avg","T_40cm_Avg","BulkEC_40cm_Avg","VWC_50cm_Avg","Ka_50cm_Avg","T_50cm_Avg","BulkEC_50cm_Avg","VWC_60cm_Avg","Ka_60cm_Avg","T_60cm_Avg","BulkEC_60cm_Avg","VWC_75cm_Avg","Ka_75cm_Avg","T_75cm_Avg","BulkEC_75cm_Avg","VWC_100cm_Avg","Ka_100cm_Avg","T_100cm_Avg","BulkEC_100cm_Avg"
"TS","RN","m^3/m^3","unitless","Deg C","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-08-17 15:00:00",12096,0.02,2.957,27.46,0.062,4.361,19.63,0,0.103,5.986,14.22,0,0.108,6.2,13.44,0,0.225,12.43,12.86,0,0.126,7.047,12.17,0,0.082,5.124,11.63,0,0,1.106,10.71,0,0.243,13.54,9.7,0
"2020-08-17 15:30:00",12097,0.02,2.957,27.46,0.062,4.361,19.63,0,0.103,5.986,14.22,0,0.108,6.2,13.44,0,0.225,12.43,12.86,0,0.126,7.047,12.17,0,0.082,5.124,11.63,0,0,1.106,10.71,0,0.243,13.54,9.7,0
"2020-08-17 16:00:00",12098,0.013,2.743,25.35,0.056,4.166,19.94,0,0.1,5.894,14.53,0,0.111,6.334,13.49,0,0.226,12.47,12.81,0,0.127,7.06,12.15,0,0.08,5.061,11.61,0,0,1.108,10.76,0,0.242,13.48,9.73,0
"2020-08-17 16:30:00",12099,0.013,2.743,25.35,0.056,4.166,19.94,0,0.1,5.894,14.53,0,0.111,6.334,13.49,0,0.226,12.47,12.81,0,0.127,7.06,12.15,0,0.08,5.061,11.61,0,0,1.108,10.76,0,0.242,13.48,9.73,0
"2020-08-17 17:00:00",12100,0.014,2.789,23.66,0.057,4.183,19.58,0,0.101,5.9,14.75,0,0.108,6.203,13.47,0,0.23,12.69,12.84,0,0.125,6.989,12.17,0,0.083,5.189,11.63,0,0,1.049,10.76,0,0.241,13.43,9.66,0
"2020-08-17 17:30:00",12101,0.014,2.789,23.66,0.057,4.183,19.58,0,0.101,5.9,14.75,0,0.108,6.203,13.47,0,0.23,12.69,12.84,0,0.125,6.989,12.17,0,0.083,5.189,11.63,0,0,1.049,10.76,0,0.241,13.43,9.66,0
"2020-08-17 18:00:00",12102,0.015,2.804,22.32,0.06,4.295,19.23,0,0.102,5.96,14.92,0,0.108,6.232,13.49,0,0.228,12.59,12.86,0,0.124,6.919,12.13,0,0.081,5.103,11.56,0,0,1.037,10.76,0,0.243,13.53,9.7,0
"2020-08-17 18:30:00",12103,0.015,2.804,22.32,0.06,4.295,19.23,0,0.102,5.96,14.92,0,0.108,6.232,13.49,0,0.228,12.59,12.86,0,0.124,6.919,12.13,0,0.081,5.103,11.56,0,0,1.037,10.76,0,0.243,13.53,9.7,0
"2020-08-17 19:00:00",12104,0.011,2.703,21.02,0.056,4.157,18.83,0,0.104,6.03,15.06,0,0.109,6.277,13.56,0,0.225,12.42,12.79,0,0.127,7.1,12.1,0,0.083,5.159,11.58,0,0,1.064,10.73,0,0.244,13.59,9.66,0
"2020-08-17 19:30:00",12105,0.011,2.703,21.02,0.056,4.157,18.83,0,0.104,6.03,15.06,0,0.109,6.277,13.56,0,0.225,12.42,12.79,0,0.127,7.1,12.1,0,0.083,5.159,11.58,0,0,1.064,10.73,0,0.244,13.59,9.66,0
"2020-08-17 20:00:00",12106,0.012,2.71,19.66,0.06,4.277,18.35,0,0.102,5.965,15.19,0,0.106,6.117,13.56,0,0.23,12.7,12.86,0,0.123,6.889,12.15,0,0.08,5.053,11.63,0,0,1.027,10.76,0,0.241,13.38,9.73,0
"2020-08-17 20:30:00",12107,0.012,2.71,19.66,0.06,4.277,18.35,0,0.102,5.965,15.19,0,0.106,6.117,13.56,0,0.23,12.7,12.86,0,0.123,6.889,12.15,0,0.08,5.053,11.63,0,0,1.027,10.76,0,0.241,13.38,9.73,0
"2020-08-17 21:00:00",12108,0.013,2.746,18.48,0.057,4.191,17.85,0,0.098,5.809,15.19,0,0.113,6.431,13.63,0,0.228,12.61,12.81,0,0.125,6.975,12.15,0,0.083,5.174,11.56,0,0,1.053,10.73,0,0.241,13.42,9.73,0
"2020-08-17 21:30:00",12109,0.013,2.746,18.48,0.057,4.191,17.85,0,0.098,5.809,15.19,0,0.113,6.431,13.63,0,0.228,12.61,12.81,0,0.125,6.975,12.15,0,0.083,5.174,11.56,0,0,1.053,10.73,0,0.241,13.42,9.73,0
"2020-08-17 22:00:00",12110,0.013,2.74,17.72,0.06,4.291,17.39,0,0.1,5.873,15.19,0,0.106,6.141,13.63,0,0.23,12.75,12.81,0,0.125,6.997,12.15,0,0.083,5.166,11.61,0,0,1.057,10.76,0,0.239,13.27,9.66,0
"2020-08-17 22:30:00",12111,0.013,2.74,17.72,0.06,4.291,17.39,0,0.1,5.873,15.19,0,0.106,6.141,13.63,0,0.23,12.75,12.81,0,0.125,6.997,12.15,0,0.083,5.166,11.61,0,0,1.057,10.76,0,0.239,13.27,9.66,0
"2020-08-17 23:00:00",12112,0.01,2.658,17.08,0.059,4.271,17.03,0,0.104,6.052,15.16,0,0.105,6.097,13.73,0,0.226,12.49,12.86,0,0.127,7.079,12.15,0,0.081,5.099,11.58,0,0,1.035,10.8,0,0.244,13.61,9.66,0
