"Plot Title: 20541053"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538920, LBL: RCSM1 1m)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538921, LBL: RCSM1 10cm)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538928, LBL: RCSM1 30cm)"
1,08/17/20 02:30:01 PM,0.2850,0.1590,0.1117
2,08/17/20 03:00:01 PM,0.2850,0.1596,0.1117
3,08/17/20 03:30:01 PM,0.2850,0.1585,0.1117
4,08/17/20 04:00:01 PM,0.2850,0.1590,0.1117
5,08/17/20 04:30:01 PM,0.2853,0.1585,0.1122
6,08/17/20 05:00:01 PM,0.2850,0.1590,0.1117
7,08/17/20 05:30:01 PM,0.2850,0.1590,0.1117
8,08/17/20 06:00:01 PM,0.2850,0.1585,0.1122
9,08/17/20 06:30:01 PM,0.2850,0.1585,0.1122
10,08/17/20 07:00:01 PM,0.2850,0.1585,0.1122
11,08/17/20 07:30:01 PM,0.2850,0.1590,0.1122
12,08/17/20 08:00:01 PM,0.2850,0.1590,0.1117
13,08/17/20 08:30:01 PM,0.2850,0.1585,0.1117
14,08/17/20 09:00:01 PM,0.2850,0.1590,0.1117
15,08/17/20 09:30:01 PM,0.2850,0.1585,0.1112
16,08/17/20 10:00:01 PM,0.2850,0.1590,0.1112
17,08/17/20 10:30:01 PM,0.2850,0.1585,0.1117
18,08/17/20 11:00:01 PM,0.2850,0.1585,0.1117
19,08/17/20 11:30:01 PM,0.2850,0.1590,0.1112
20,08/18/20 12:00:01 AM,0.2847,0.1590,0.1112
21,08/18/20 12:30:01 AM,0.2847,0.1590,0.1112
22,08/18/20 01:00:01 AM,-0.4737,0.1590,0.1112
23,08/18/20 01:30:01 AM,-0.4737,0.1590,0.1112
24,08/18/20 02:00:01 AM,-0.4737,0.1590,0.1107
25,08/18/20 02:30:01 AM,-0.4737,0.1590,0.1107
26,08/18/20 03:00:01 AM,-0.4737,0.1590,0.1107
27,08/18/20 03:30:01 AM,-0.4737,0.1590,0.1101
28,08/18/20 04:00:01 AM,-0.4737,0.1590,0.1101
29,08/18/20 04:30:01 AM,-0.4737,0.1590,0.1096
30,08/18/20 05:00:01 AM,-0.4737,0.1590,0.1101
31,08/18/20 05:30:01 AM,-0.4737,0.1590,0.1101
32,08/18/20 06:00:01 AM,-0.4737,0.1590,0.1101
33,08/18/20 06:30:01 AM,-0.4737,0.1590,0.1096
34,08/18/20 07:00:01 AM,-0.4737,0.1590,0.1091
35,08/18/20 07:30:01 AM,-0.4737,0.1590,0.1091
36,08/18/20 08:00:01 AM,-0.4737,0.1590,0.1096
37,08/18/20 08:30:01 AM,-0.4737,0.1590,0.1096
38,08/18/20 09:00:01 AM,-0.4737,0.1585,0.1096
39,08/18/20 09:30:01 AM,0.2850,0.1585,0.1096
40,08/18/20 10:00:01 AM,0.2850,0.1590,0.1101
41,08/18/20 10:30:01 AM,0.2850,0.1585,0.1101
42,08/18/20 11:00:01 AM,0.2850,0.1590,0.1107
43,08/18/20 11:30:01 AM,0.2850,0.1585,0.1112
44,08/18/20 12:00:01 PM,0.2850,0.1590,0.1112
45,08/18/20 12:30:01 PM,0.2850,0.1585,0.1117
46,08/18/20 01:00:01 PM,0.2850,0.1590,0.1117
47,08/18/20 01:30:01 PM,0.2850,0.1585,0.1128
48,08/18/20 02:00:01 PM,0.2850,0.1585,0.1133
49,08/18/20 02:30:01 PM,0.2850,0.1590,0.1133
50,08/18/20 03:00:01 PM,0.2850,0.1585,0.1138
51,08/18/20 03:30:01 PM,0.2850,0.1585,0.1133
52,08/18/20 04:00:01 PM,0.2850,0.1585,0.1133
53,08/18/20 04:30:01 PM,0.2850,0.1590,0.1138
54,08/18/20 05:00:01 PM,0.2850,0.1590,0.1143
55,08/18/20 05:30:01 PM,0.2850,0.1585,0.1143
56,08/18/20 06:00:01 PM,0.2850,0.1585,0.1143
57,08/18/20 06:30:01 PM,0.2847,0.1590,0.1143
58,08/18/20 07:00:01 PM,0.2850,0.1581,0.1143
59,08/18/20 07:30:01 PM,0.2847,0.1585,0.1138
60,08/18/20 08:00:01 PM,0.2847,0.1581,0.1138
61,08/18/20 08:30:01 PM,0.2847,0.1585,0.1133
62,08/18/20 09:00:01 PM,0.2847,0.1581,0.1133
63,08/18/20 09:30:01 PM,0.2847,0.1581,0.1128
64,08/18/20 10:00:01 PM,0.2847,0.1585,0.1128
65,08/18/20 10:30:01 PM,0.2850,0.1581,0.1133
66,08/18/20 11:00:01 PM,0.2850,0.1581,0.1122
67,08/18/20 11:30:01 PM,0.2847,0.1585,0.1122
68,08/19/20 12:00:01 AM,-0.4737,0.1581,0.1122
69,08/19/20 12:30:01 AM,-0.4737,0.1585,0.1122
70,08/19/20 01:00:01 AM,-0.4737,0.1581,0.1117
71,08/19/20 01:30:01 AM,-0.4737,0.1585,0.1117
72,08/19/20 02:00:01 AM,-0.4737,0.1585,0.1117
73,08/19/20 02:30:01 AM,-0.4737,0.1585,0.1117
74,08/19/20 03:00:01 AM,-0.4737,0.1581,0.1117
75,08/19/20 03:30:01 AM,-0.4737,0.1585,0.1112
76,08/19/20 04:00:01 AM,-0.4737,0.1585,0.1112
77,08/19/20 04:30:01 AM,-0.4737,0.1585,0.1112
78,08/19/20 05:00:01 AM,-0.4737,0.1585,0.1107
79,08/19/20 05:30:01 AM,-0.4737,0.1585,0.1101
80,08/19/20 06:00:01 AM,-0.4737,0.1585,0.1101
81,08/19/20 06:30:01 AM,-0.4737,0.1585,0.1101
82,08/19/20 07:00:01 AM,-0.4737,0.1585,0.1107
83,08/19/20 07:30:01 AM,-0.4737,0.1585,0.1101
84,08/19/20 08:00:01 AM,-0.4737,0.1585,0.1101
85,08/19/20 08:30:01 AM,-0.4737,0.1585,0.1101
86,08/19/20 09:00:01 AM,-0.4737,0.1581,0.1101
87,08/19/20 09:30:01 AM,0.2850,0.1581,0.1107
88,08/19/20 10:00:01 AM,0.2850,0.1585,0.1107
89,08/19/20 10:30:01 AM,0.2850,0.1581,0.1107
90,08/19/20 11:00:01 AM,0.2850,0.1581,0.1112
91,08/19/20 11:30:01 AM,0.2850,0.1585,0.1117
92,08/19/20 12:00:01 PM,0.2847,0.1585,0.1117
93,08/19/20 12:30:01 PM,0.2850,0.1581,0.1122
94,08/19/20 01:00:01 PM,0.2850,0.1585,0.1117
95,08/19/20 01:30:01 PM,0.2850,0.1581,0.1122
96,08/19/20 02:00:01 PM,0.2850,0.1581,0.1128
97,08/19/20 02:30:01 PM,0.2850,0.1585,0.1128
98,08/19/20 03:00:01 PM,0.2847,0.1585,0.1128
99,08/19/20 03:30:01 PM,0.2847,0.1581,0.1128
100,08/19/20 04:00:01 PM,0.2847,0.1585,0.1128
101,08/19/20 04:30:01 PM,0.2847,0.1585,0.1133
102,08/19/20 05:00:01 PM,0.2847,0.1581,0.1128
103,08/19/20 05:30:01 PM,0.2847,0.1581,0.1133
104,08/19/20 06:00:01 PM,0.2847,0.1581,0.1128
105,08/19/20 06:30:01 PM,0.2847,0.1581,0.1128
106,08/19/20 07:00:01 PM,0.2847,0.1581,0.1128
107,08/19/20 07:30:01 PM,-0.4737,0.1581,0.1122
108,08/19/20 08:00:01 PM,-0.4737,0.1585,0.1117
109,08/19/20 08:30:01 PM,-0.4737,0.1585,0.1117
110,08/19/20 09:00:01 PM,-0.4737,0.1585,0.1112
111,08/19/20 09:30:01 PM,-0.4737,0.1585,0.1117
112,08/19/20 10:00:01 PM,-0.4737,0.1581,0.1112
113,08/19/20 10:30:01 PM,-0.4737,0.1581,0.1107
114,08/19/20 11:00:01 PM,-0.4737,0.1585,0.1107
115,08/19/20 11:30:01 PM,-0.4737,0.1581,0.1107
116,08/20/20 12:00:01 AM,-0.4737,0.1585,0.1101
117,08/20/20 12:30:01 AM,-0.4737,0.1581,0.1101
