"Plot Title: 20541053"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538921, LBL: RCSM1 10cm)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538928, LBL: RCSM1 30cm)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 21077016, LBL: RCSM1 1 m)"
1,05/01/21 01:00:01 PM,0.2898,0.3011,0.3003
2,05/01/21 01:30:01 PM,0.2901,0.3011,0.3010
3,05/01/21 02:00:01 PM,0.2898,0.3011,0.3010
4,05/01/21 02:30:01 PM,0.2895,0.3011,0.3017
5,05/01/21 03:00:01 PM,0.2898,0.3015,0.3017
6,05/01/21 03:30:01 PM,0.2895,0.3011,0.3024
7,05/01/21 04:00:01 PM,0.2895,0.3011,0.3024
8,05/01/21 04:30:01 PM,0.2895,0.3011,0.3024
9,05/01/21 05:00:01 PM,0.2898,0.3011,0.3032
10,05/01/21 05:30:01 PM,0.2895,0.3011,0.3024
11,05/01/21 06:00:01 PM,0.2898,0.3011,0.3032
12,05/01/21 06:30:01 PM,0.2895,0.3008,0.3032
13,05/01/21 07:00:01 PM,0.2895,0.3008,0.3032
14,05/01/21 07:30:01 PM,0.2895,0.3005,0.3032
15,05/01/21 08:00:01 PM,0.2898,0.3005,0.3032
16,05/01/21 08:30:01 PM,0.2895,0.3005,0.3032
17,05/01/21 09:00:01 PM,0.2895,0.3005,0.3032
18,05/01/21 09:30:01 PM,0.2895,0.3001,0.3039
19,05/01/21 10:00:01 PM,0.2890,0.3001,0.3039
20,05/01/21 10:30:01 PM,0.2890,0.3001,0.3039
21,05/01/21 11:00:01 PM,0.2890,0.3001,0.3039
22,05/01/21 11:30:01 PM,0.2890,0.3001,0.3039
23,05/02/21 12:00:01 AM,0.2890,0.2997,0.3039
24,05/02/21 12:30:01 AM,0.2890,0.3001,0.3039
25,05/02/21 01:00:01 AM,0.2895,0.2997,0.3039
26,05/02/21 01:30:01 AM,0.2895,0.2997,0.3039
27,05/02/21 02:00:01 AM,0.2895,0.2997,0.3039
28,05/02/21 02:30:01 AM,0.2895,0.2997,0.3039
29,05/02/21 03:00:01 AM,0.2895,0.2997,0.3039
30,05/02/21 03:30:01 AM,0.2890,0.2997,0.3039
31,05/02/21 04:00:01 AM,0.2890,0.2997,0.3039
32,05/02/21 04:30:01 AM,0.2887,0.2994,0.3039
33,05/02/21 05:00:01 AM,0.2890,0.2994,0.3039
34,05/02/21 05:30:01 AM,0.2887,0.2994,0.3039
35,05/02/21 06:00:01 AM,0.2887,0.2994,0.3039
36,05/02/21 06:30:01 AM,0.2887,0.2994,0.3039
37,05/02/21 07:00:01 AM,0.2887,0.2994,0.3039
38,05/02/21 07:30:01 AM,0.2887,0.2997,0.3039
39,05/02/21 08:00:01 AM,0.2887,0.2997,0.3039
40,05/02/21 08:30:01 AM,0.2890,0.3001,0.3046
41,05/02/21 09:00:01 AM,0.2884,0.3001,0.3039
42,05/02/21 09:30:01 AM,0.2884,0.3001,0.3039
43,05/02/21 10:00:01 AM,0.2884,0.3001,0.3039
44,05/02/21 10:30:01 AM,0.2884,0.3001,0.3039
45,05/02/21 11:00:01 AM,0.2887,0.2997,0.3039
46,05/02/21 11:30:01 AM,0.2884,0.2997,0.3039
47,05/02/21 12:00:01 PM,0.2887,0.2997,0.3039
48,05/02/21 12:30:01 PM,0.2884,0.2997,0.3039
49,05/02/21 01:00:01 PM,0.2884,0.2997,0.3039
50,05/02/21 01:30:01 PM,0.2887,0.2997,0.3039
51,05/02/21 02:00:01 PM,0.2884,0.2997,0.3039
52,05/02/21 02:30:01 PM,0.2884,0.2997,0.3039
53,05/02/21 03:00:01 PM,0.2881,0.3001,0.3039
54,05/02/21 03:30:01 PM,0.2881,0.3001,0.3039
55,05/02/21 04:00:01 PM,0.2884,0.2997,0.3039
56,05/02/21 04:30:01 PM,0.2884,0.2997,0.3039
57,05/02/21 05:00:01 PM,0.2881,0.2997,0.3039
58,05/02/21 05:30:01 PM,0.2884,0.2997,0.3039
59,05/02/21 06:00:01 PM,0.2881,0.2997,0.3039
60,05/02/21 06:30:01 PM,0.2884,0.2994,0.3039
61,05/02/21 07:00:01 PM,0.2881,0.2990,0.3039
62,05/02/21 07:30:01 PM,0.2881,0.2990,0.3039
63,05/02/21 08:00:01 PM,0.2881,0.2990,0.3039
64,05/02/21 08:30:01 PM,0.2884,0.2990,0.3039
65,05/02/21 09:00:01 PM,0.2881,0.2987,0.3039
66,05/02/21 09:30:01 PM,0.2881,0.2987,0.3032
67,05/02/21 10:00:01 PM,0.2884,0.2987,0.3039
68,05/02/21 10:30:01 PM,0.2877,0.2987,0.3039
69,05/02/21 11:00:01 PM,0.2881,0.2987,0.3039
70,05/02/21 11:30:01 PM,0.2881,0.2987,0.3039
71,05/03/21 12:00:01 AM,0.2881,0.2987,0.3039
72,05/03/21 12:30:01 AM,0.2877,0.2987,0.3039
73,05/03/21 01:00:01 AM,0.2881,0.2987,0.3039
74,05/03/21 01:30:01 AM,0.2877,0.2984,0.3039
75,05/03/21 02:00:01 AM,0.2881,0.2984,0.3039
76,05/03/21 02:30:01 AM,0.2877,0.2987,0.3039
77,05/03/21 03:00:01 AM,0.2877,0.2987,0.3039
78,05/03/21 03:30:01 AM,0.2877,0.2987,0.3039
79,05/03/21 04:00:01 AM,0.2877,0.2984,0.3039
80,05/03/21 04:30:01 AM,0.2877,0.2987,0.3039
81,05/03/21 05:00:01 AM,0.2877,0.2987,0.3039
82,05/03/21 05:30:01 AM,0.2874,0.2984,0.3039
83,05/03/21 06:00:01 AM,0.2874,0.2984,0.3032
84,05/03/21 06:30:01 AM,0.2874,0.2984,0.3032
85,05/03/21 07:00:01 AM,0.2874,0.2984,0.3039
86,05/03/21 07:30:01 AM,0.2874,0.2987,0.3039
87,05/03/21 08:00:01 AM,0.2874,0.2987,0.3039
88,05/03/21 08:30:01 AM,0.2874,0.2987,0.3039
89,05/03/21 09:00:01 AM,0.2874,0.2987,0.3039
90,05/03/21 09:30:01 AM,0.2874,0.2987,0.3039
91,05/03/21 10:00:01 AM,0.2874,0.2987,0.3039
92,05/03/21 10:30:01 AM,0.2874,0.2987,0.3032
93,05/03/21 11:00:01 AM,0.2871,0.2987,0.3039
94,05/03/21 11:30:01 AM,0.2871,0.2987,0.3039
95,05/03/21 12:00:01 PM,0.2871,0.2987,0.3039
96,05/03/21 12:30:01 PM,0.2871,0.2987,0.3032
97,05/03/21 01:00:01 PM,0.2871,0.2987,0.3032
98,05/03/21 01:30:01 PM,0.2871,0.2984,0.3039
99,05/03/21 02:00:01 PM,0.2871,0.2984,0.3032
100,05/03/21 02:30:01 PM,0.2871,0.2987,0.3032
101,05/03/21 03:00:01 PM,0.2871,0.2984,0.3032
102,05/03/21 03:30:01 PM,0.2874,0.2987,0.3032
103,05/03/21 04:00:01 PM,0.2871,0.2987,0.3032
104,05/03/21 04:30:01 PM,0.2871,0.2987,0.3032
105,05/03/21 05:00:01 PM,0.2871,0.2984,0.3032
106,05/03/21 05:30:01 PM,0.2868,0.2987,0.3032
107,05/03/21 06:00:01 PM,0.2871,0.2984,0.3032
108,05/03/21 06:30:01 PM,0.2868,0.2979,0.3032
109,05/03/21 07:00:01 PM,0.2868,0.2979,0.3032
110,05/03/21 07:30:01 PM,0.2871,0.2979,0.3032
111,05/03/21 08:00:01 PM,0.2868,0.2976,0.3032
112,05/03/21 08:30:01 PM,0.2871,0.2976,0.3032
113,05/03/21 09:00:01 PM,0.2868,0.2976,0.3032
114,05/03/21 09:30:01 PM,0.2871,0.2973,0.3032
115,05/03/21 10:00:01 PM,0.2871,0.2973,0.3032
116,05/03/21 10:30:01 PM,0.2868,0.2973,0.3032
117,05/03/21 11:00:01 PM,0.2871,0.2973,0.3032
118,05/03/21 11:30:01 PM,0.2868,0.2973,0.3032
119,05/04/21 12:00:01 AM,0.2871,0.2973,0.3032
120,05/04/21 12:30:01 AM,0.2868,0.2973,0.3032
121,05/04/21 01:00:01 AM,0.2868,0.2970,0.3032
122,05/04/21 01:30:01 AM,0.2868,0.2973,0.3032
123,05/04/21 02:00:01 AM,0.2868,0.2973,0.3032
124,05/04/21 02:30:01 AM,0.2868,0.2973,0.3032
125,05/04/21 03:00:01 AM,0.2864,0.2973,0.3024
126,05/04/21 03:30:01 AM,0.2864,0.2973,0.3024
127,05/04/21 04:00:01 AM,0.2864,0.2973,0.3032
128,05/04/21 04:30:01 AM,0.2864,0.2973,0.3032
129,05/04/21 05:00:01 AM,0.2864,0.2973,0.3024
130,05/04/21 05:30:01 AM,0.2864,0.2973,0.3032
131,05/04/21 06:00:01 AM,0.2861,0.2973,0.3032
132,05/04/21 06:30:01 AM,0.2864,0.2973,0.3032
133,05/04/21 07:00:01 AM,0.2861,0.2970,0.3032
134,05/04/21 07:30:01 AM,0.2864,0.2973,0.3032
135,05/04/21 08:00:01 AM,0.2861,0.2973,0.3032
136,05/04/21 08:30:01 AM,0.2861,0.2973,0.3032
137,05/04/21 09:00:01 AM,0.2861,0.2973,0.3032
138,05/04/21 09:30:01 AM,0.2861,0.2973,0.3032
139,05/04/21 10:00:01 AM,0.2861,0.2973,0.3024
140,05/04/21 10:30:01 AM,0.2861,0.2973,0.3024
141,05/04/21 11:00:01 AM,0.2861,0.2973,0.3024
142,05/04/21 11:30:01 AM,0.2861,0.2973,0.3024
143,05/04/21 12:00:01 PM,0.2861,0.2973,0.3024
144,05/04/21 12:30:01 PM,0.2861,0.2973,0.3024
145,05/04/21 01:00:01 PM,0.2861,0.2973,0.3024
146,05/04/21 01:30:01 PM,0.2861,0.2973,0.3024
147,05/04/21 02:00:01 PM,0.2864,0.2973,0.3024
148,05/04/21 02:30:01 PM,0.2861,0.2973,0.3024
149,05/04/21 03:00:01 PM,0.2857,0.2976,0.3024
150,05/04/21 03:30:01 PM,0.2861,0.2976,0.3024
151,05/04/21 04:00:01 PM,0.2857,0.2976,0.3024
152,05/04/21 04:30:01 PM,0.2861,0.2973,0.3024
153,05/04/21 05:00:01 PM,0.2857,0.2973,0.3024
154,05/04/21 05:30:01 PM,0.2861,0.2976,0.3017
155,05/04/21 06:00:01 PM,0.2857,0.2973,0.3024
156,05/04/21 06:30:01 PM,0.2857,0.2973,0.3024
157,05/04/21 07:00:01 PM,0.2857,0.2970,0.3024
158,05/04/21 07:30:01 PM,0.2857,0.2970,0.3024
159,05/04/21 08:00:01 PM,0.2857,0.2966,0.3024
160,05/04/21 08:30:01 PM,0.2861,0.2966,0.3024
161,05/04/21 09:00:01 PM,0.2857,0.2963,0.3024
162,05/04/21 09:30:01 PM,0.2861,0.2963,0.3024
163,05/04/21 10:00:01 PM,0.2861,0.2963,0.3024
164,05/04/21 10:30:01 PM,0.2861,0.2963,0.3017
165,05/04/21 11:00:01 PM,0.2861,0.2963,0.3017
166,05/04/21 11:30:01 PM,0.2857,0.2959,0.3024
167,05/05/21 12:00:01 AM,0.2857,0.2959,0.3024
168,05/05/21 12:30:01 AM,0.2853,0.2959,0.3017
169,05/05/21 01:00:01 AM,0.2857,0.2959,0.3017
170,05/05/21 01:30:01 AM,0.2857,0.2959,0.3017
171,05/05/21 02:00:01 AM,0.2857,0.2959,0.3024
172,05/05/21 02:30:01 AM,0.2853,0.2959,0.3017
173,05/05/21 03:00:01 AM,0.2857,0.2959,0.3017
174,05/05/21 03:30:01 AM,0.2853,0.2959,0.3024
175,05/05/21 04:00:01 AM,0.2853,0.2959,0.3017
176,05/05/21 04:30:01 AM,0.2853,0.2959,0.3017
177,05/05/21 05:00:01 AM,0.2853,0.2959,0.3024
178,05/05/21 05:30:01 AM,0.2853,0.2959,0.3017
179,05/05/21 06:00:01 AM,0.2853,0.2959,0.3017
180,05/05/21 06:30:01 AM,0.2853,0.2959,0.3017
181,05/05/21 07:00:01 AM,0.2853,0.2959,0.3017
182,05/05/21 07:30:01 AM,0.2853,0.2959,0.3024
183,05/05/21 08:00:01 AM,0.2850,0.2959,0.3024
184,05/05/21 08:30:01 AM,0.2850,0.2959,0.3024
185,05/05/21 09:00:01 AM,0.2850,0.2963,0.3017
186,05/05/21 09:30:01 AM,0.2850,0.2963,0.3017
187,05/05/21 10:00:01 AM,0.2853,0.2963,0.3017
188,05/05/21 10:30:01 AM,0.2850,0.2963,0.3017
189,05/05/21 11:00:01 AM,0.2850,0.2963,0.3017
190,05/05/21 11:30:01 AM,0.2850,0.2959,0.3017
191,05/05/21 12:00:01 PM,0.2847,0.2959,0.3017
192,05/05/21 12:30:01 PM,0.2847,0.2959,0.3017
193,05/05/21 01:00:01 PM,0.2850,0.2959,0.3017
