Date,VWC_10cm_RC1SM,VWC_10cm_RCSM2,VWC_10cm_RCSM3,VWC_10cm_RCSM5,VWC_30cm_RC1SM,VWC_30cm_RCSM2,VWC_30cm_RCSM3,VWC_30cm_RCSM5,VWC_1m_RC1SM,VWC_1m_RCSM5,VWC_5cm_RCSM2,VWC_5cm_RCSM3,VWC_20cm_RCSM2,VWC_20cm_RCSM3,VWC_40cm_RCSM2,VWC_40cm_RCSM3,VWC_50cm_RCSM2,VWC_50cm_RCSM3,VWC_60cm_RCSM2,VWC_60cm_RCSM3,VWC_75cm_RCSM2,VWC_75cm_RCSM3,VWC_100cm_RCSM2,VWC_100cm_RCSM3,VWC_45cm_RCSM2b_1,VWC_45cm_RCSM2b_2,VWC_30cm_RCSF2,VWC_30cm_RCSM3_TEMP,VWC_60cm_RCSF2,VWC_70cm_RCSM3_TEMP,WY
7/13/2019,0.240179167,NA,NA,0.343561012,0.245816667,NA,NA,0.372639583,0.301038988,0.500645833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
7/20/2019,0.234059524,NA,NA,0.343339881,0.229510714,NA,NA,0.371525298,0.299020833,0.50166131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261934524,0.190717262,NA,NA,NA,NA,2019
7/27/2019,0.226996726,NA,NA,0.34274494,0.208020238,NA,NA,0.370994345,0.297144048,0.502300893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259955357,0.186321429,NA,NA,NA,NA,2019
8/3/2019,0.221200893,NA,NA,0.342266369,0.190902679,NA,NA,0.370925298,0.295393155,0.502852083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257455357,0.181928571,NA,NA,NA,NA,2019
8/10/2019,0.210759226,NA,NA,0.342091667,0.181635714,NA,NA,0.369900893,0.293672024,0.50347619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252497024,0.176485119,NA,NA,NA,NA,2019
8/17/2019,0.201676488,NA,NA,0.342064286,0.171852679,NA,NA,0.369734524,0.292199405,0.50397381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247973214,0.171392857,NA,NA,NA,NA,2019
8/24/2019,0.191825893,NA,NA,0.342850298,0.163578869,NA,NA,0.369772024,0.290846726,0.504210119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242604167,0.165657738,NA,NA,NA,NA,2019
8/31/2019,0.184101786,NA,NA,0.342348512,0.158013095,NA,NA,0.369207143,0.289675,0.504729464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236360119,0.158809524,NA,NA,NA,NA,2019
9/7/2019,0.178780357,NA,NA,0.343865476,0.155484524,0.046002205,NA,0.369192857,0.288541964,0.505024405,0.014274468,NA,0.030630745,NA,0.011550819,NA,0.065997938,NA,0.081859945,NA,0.025432912,NA,NA,NA,0.229443452,0.151922619,NA,NA,NA,NA,2019
9/14/2019,0.178132738,NA,NA,0.345068452,0.228194643,0.045251789,NA,0.369930357,0.287779762,0.505425298,0.05213377,NA,0.032980551,NA,0.010779886,NA,0.065340686,NA,0.081334743,NA,0.023894503,NA,NA,NA,0.22428869,0.145940476,NA,NA,NA,NA,2019
9/21/2019,0.183807143,0.01011469,NA,0.343740774,0.26905625,0.046560716,NA,0.370931548,0.287204464,0.50570744,0.064335539,NA,0.051162154,NA,0.011024275,NA,0.065277239,NA,0.080528605,NA,0.021071375,NA,NA,NA,0.223925595,0.143026786,NA,NA,NA,NA,2019
9/28/2019,0.193823512,0.013465805,NA,0.37848631,0.268472321,0.048627365,NA,0.373225298,0.286625298,0.506222917,0.063577335,NA,0.057077974,NA,0.011615365,NA,0.065831896,NA,0.081421253,NA,0.019491719,NA,NA,NA,0.223875,0.141494048,NA,NA,NA,NA,2019
10/5/2019,0.200712202,0.011691101,NA,0.38126994,0.265701488,0.0506982,NA,0.373153869,0.286822024,0.50644375,0.052929156,NA,0.060173052,NA,0.01316752,NA,0.066399256,NA,0.082208849,NA,0.018631948,NA,NA,NA,0.223485119,0.140419643,NA,NA,NA,NA,2020
10/12/2019,0.209418452,0.004270011,NA,0.380573512,0.258448214,0.052724757,NA,0.374028869,0.287211607,0.506470833,0.042108487,NA,0.061653541,NA,0.013560593,NA,0.066498304,NA,0.082447345,NA,0.017278809,NA,NA,NA,0.222895833,0.139,NA,NA,NA,NA,2020
10/19/2019,0.21152381,0.002269363,NA,0.380370536,0.255626786,0.052883313,NA,0.373494345,0.287164881,0.506911905,0.041256751,NA,0.060714229,NA,0.01278601,NA,0.0657449,NA,0.081345301,NA,0.015345831,NA,NA,NA,0.222005952,0.138125,NA,NA,NA,NA,2020
10/26/2019,0.21300119,NA,NA,0.379689286,0.251849405,0.054025987,NA,0.372879762,0.286368293,0.50897619,0.023461104,NA,0.061522951,NA,0.013305528,NA,0.065987204,NA,0.082212776,NA,0.015382971,NA,NA,NA,0.220863095,0.136196429,NA,NA,NA,NA,2020
11/2/2019,0.211388393,NA,NA,0.378916667,0.249466667,0.057144757,NA,0.37080119,NA,0.508918155,0.01614818,NA,0.063132683,NA,0.013774688,NA,0.067070287,NA,0.084520688,NA,0.01590016,NA,NA,NA,0.22,0.13466369,NA,NA,NA,NA,2020
11/9/2019,0.211653869,NA,NA,0.378987798,0.247658929,0.05786821,NA,0.370070833,NA,0.486327976,0.013571028,NA,0.063322841,NA,0.013695383,NA,0.067314886,NA,0.084049915,NA,0.015896661,NA,NA,NA,0.219327381,0.132883929,NA,NA,NA,NA,2020
11/16/2019,0.21261131,NA,NA,0.378644643,0.246429464,0.058324355,NA,0.369011607,NA,0.471399405,0.011424536,NA,0.063580388,NA,0.014014429,NA,0.067452366,NA,0.084164497,NA,0.015766533,NA,NA,NA,0.218377976,0.131116071,NA,NA,NA,NA,2020
11/23/2019,0.21539881,NA,NA,0.377631845,0.230339583,0.060277031,NA,0.368576786,NA,0.46861994,0.009808056,NA,0.064878806,NA,0.014226736,NA,0.067878386,NA,0.085193805,NA,0.015562688,NA,NA,NA,0.216904762,0.129071429,NA,NA,NA,NA,2020
11/30/2019,0.229677083,NA,NA,0.377705952,0.266603869,0.060630367,NA,0.36789256,NA,0.470850298,0.021200555,NA,0.064099343,NA,0.014024848,NA,0.067079079,NA,0.084690424,NA,0.014708251,NA,NA,NA,0.264011905,0.236136905,NA,NA,NA,NA,2020
12/7/2019,0.292757738,NA,0.141188679,0.38015,0.307247321,NA,0.343679245,0.369575298,NA,0.48208244,NA,0.143688679,NA,0.423018868,NA,0.371688679,NA,0.26059434,NA,0.196443396,NA,NA,NA,0.646264151,0.379208333,0.299723214,NA,NA,NA,NA,2020
12/14/2019,0.292953274,NA,0.142678571,0.379220238,0.303141071,NA,0.318285714,0.369222619,NA,0.483471429,NA,0.112369048,NA,0.382982143,NA,0.382809524,NA,0.266803571,NA,0.240410714,NA,NA,NA,0.650178571,0.36197619,0.26725,NA,NA,NA,NA,2020
12/21/2019,0.289051786,NA,0.125166667,0.378696131,0.299624107,NA,0.31122619,0.368305357,NA,0.47673006,NA,0.09764881,NA,0.395690476,NA,0.377071429,NA,0.260779762,NA,0.188880952,NA,NA,NA,0.650821429,0.356681548,0.257934524,NA,NA,NA,NA,2020
12/28/2019,0.286102381,NA,0.155732143,0.378377679,0.2955,NA,0.312875,0.367772619,NA,0.468431845,NA,0.092553571,NA,0.412553571,NA,0.380886905,NA,0.256214286,NA,0.181422619,NA,NA,NA,0.6525,0.345988095,0.249642857,NA,NA,NA,NA,2020
1/4/2020,0.283766964,NA,0.137505952,0.378804167,0.292082143,NA,0.31635119,0.368570833,NA,0.465616071,NA,0.085172619,NA,0.418160714,NA,0.392607143,NA,0.242184524,NA,0.158511905,NA,NA,NA,0.656392857,0.338550595,0.260434524,NA,NA,NA,NA,2020
1/11/2020,0.280962202,0.010697411,0.143428571,0.379604762,0.289609821,0.120944803,0.317916667,0.367669643,NA,0.460452976,0.051023244,0.088672619,0.128613693,0.41902381,0.039592903,0.389684524,0.09904212,0.233714286,0.107528612,0.146357143,0.026964784,NA,NA,0.656375,0.333098214,0.250714286,NA,NA,NA,NA,2020
1/18/2020,0.280832143,0.012949093,0.178446429,0.379954167,0.292752679,0.121358028,0.310565476,0.367473214,NA,0.459083333,0.053607984,0.11535119,0.130212845,0.406083333,0.039453144,0.358136905,0.09892489,0.232738095,0.107242811,0.14725,0.027124146,NA,NA,0.651791667,0.34228869,0.248883929,NA,NA,NA,NA,2020
